,mAP50,mAP50,mAP50-95,mAP50-95,Precision,Precision,Recall,Recall
,mean,std,mean,std,mean,std,mean,std
repeticao,,,,,,,,
rep1,0.9945,0.0009,0.9275,0.0116,0.9958,0.0027,0.9948,0.0032
rep2,0.9944,0.0014,0.9284,0.0014,0.9944,0.0039,0.9945,0.0075
rep3,0.9946,0.0006,0.9264,0.0065,0.9937,0.0031,0.9961,0.0059
