epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.975,0.69443,1.7261,2.36995,1.06844,0,0.99771,0.5,0.74764,0.64624,0.99771,0.5,0.74765,0.68786,0.67203,1.14252,2.45738,1.19359,0,0.00045009,0.00045009,0.00045009
2,62.7616,0.65158,0.86132,1.24398,0.99015,0,0.99688,0.61326,0.67608,0.59791,0.99688,0.61326,0.67776,0.6303,0.73889,1.39441,2.26609,1.16032,0,0.000907773,0.000907773,0.000907773
3,81.7582,0.61319,0.83538,1.09637,0.96656,0,0.95582,0.80734,0.87339,0.73711,0.95582,0.80734,0.87785,0.74231,0.69488,1.47094,1.20024,1.1835,0,0.00135621,0.00135621,0.00135621
4,98.5343,0.62959,0.81331,0.99469,0.96951,0,0.98233,0.92661,0.97174,0.75728,0.98233,0.92661,0.97198,0.78047,0.72429,1.2467,0.89156,1.1833,0,0.00161749,0.00161749,0.00161749
5,115.35,0.6368,0.7962,0.89591,0.97738,0,0.96567,0.95413,0.97843,0.82791,0.96567,0.95413,0.97891,0.85928,0.60427,0.80427,0.75105,1.01984,0,0.00160099,0.00160099,0.00160099
6,132.14,0.56773,0.75192,0.74391,0.93939,0,0.98496,0.9633,0.99032,0.84445,0.98496,0.9633,0.99032,0.86319,0.55593,0.85387,0.67738,1.03438,0,0.00158448,0.00158448,0.00158448
7,148.968,0.57164,0.73524,0.67725,0.93551,0,0.97095,0.97432,0.98897,0.79817,0.96638,0.96973,0.98526,0.82888,0.61697,0.94081,0.63612,1.07598,0,0.00156798,0.00156798,0.00156798
8,165.669,0.58043,0.75436,0.65248,0.94296,0,0.97064,0.94954,0.98495,0.86284,0.97064,0.94954,0.98495,0.88801,0.52386,0.79305,0.54227,0.98796,0,0.00155148,0.00155148,0.00155148
9,182.647,0.56306,0.74106,0.58941,0.95001,0,0.98729,0.99477,0.99463,0.86267,0.98729,0.99477,0.99463,0.87878,0.49516,0.74693,0.46605,0.97435,0,0.00153497,0.00153497,0.00153497
10,199.358,0.55455,0.74509,0.5693,0.93034,0,0.99067,0.98165,0.9936,0.88404,0.99067,0.98165,0.9936,0.87757,0.50439,0.9104,0.44467,0.97095,0,0.00151847,0.00151847,0.00151847
