epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4476,0.72289,1.83735,2.34768,1.07825,0,0.99837,0.5,0.7747,0.64158,0.99837,0.5,0.77538,0.71028,0.67509,1.35225,2.5673,1.14692,0,0.00045009,0.00045009,0.00045009
2,60.0406,0.61154,0.7952,1.20393,0.96844,0,0.81984,0.64352,0.66687,0.57134,0.81984,0.64352,0.66699,0.57227,0.74346,1.80834,1.91714,1.23418,0,0.000907773,0.000907773,0.000907773
3,79.109,0.6297,0.90192,1.10422,0.99052,0,0.97426,0.78721,0.82912,0.71219,0.98216,0.79159,0.83535,0.76276,0.65602,1.042,1.19208,1.11775,0,0.00135621,0.00135621,0.00135621
4,96.5312,0.64457,0.8073,1.01778,0.9688,0,0.96221,0.875,0.91061,0.74983,0.96794,0.87963,0.9155,0.82224,0.72454,1.01977,0.965,1.14237,0,0.00161749,0.00161749,0.00161749
5,113.689,0.5996,0.76818,0.86884,0.95561,0,0.98164,0.85853,0.97848,0.84965,0.98225,0.86781,0.98335,0.87856,0.54044,0.8726,0.74322,1.00266,0,0.00160099,0.00160099,0.00160099
6,130.655,0.58258,0.74013,0.76357,0.93752,0,0.96016,0.99074,0.98963,0.83403,0.96016,0.99074,0.99047,0.87318,0.61056,0.83328,0.66693,1.06379,0,0.00158448,0.00158448,0.00158448
7,147.749,0.60626,0.7797,0.69922,0.9426,0,0.93581,0.9953,0.98113,0.83312,0.93581,0.9953,0.98113,0.84941,0.58441,0.9488,0.63851,1.05168,0,0.00156798,0.00156798,0.00156798
8,164.623,0.56771,0.72274,0.63062,0.93061,0,0.99084,0.98739,0.99417,0.87324,0.98613,0.98286,0.99022,0.88832,0.52001,0.76738,0.51209,0.98002,0,0.00155148,0.00155148,0.00155148
9,181.732,0.55116,0.71262,0.57329,0.93645,0,0.97307,0.98148,0.99358,0.89407,0.97307,0.98148,0.99358,0.90015,0.49219,0.73303,0.50889,0.96665,0,0.00153497,0.00153497,0.00153497
10,198.587,0.53883,0.71008,0.54385,0.91922,0,0.92297,0.99537,0.9664,0.85448,0.92297,0.99537,0.9664,0.86997,0.5366,0.72262,0.47303,0.97909,0,0.00151847,0.00151847,0.00151847
11,215.316,0.53576,0.74472,0.50623,0.91809,0,0.94626,0.94816,0.99394,0.86889,0.94626,0.94816,0.99394,0.89229,0.51285,0.71466,0.49765,0.97789,0,0.00150197,0.00150197,0.00150197
12,232.215,0.51914,0.72505,0.48284,0.92229,0,0.97254,0.96759,0.9928,0.86384,0.97254,0.96759,0.9928,0.87936,0.48651,0.70426,0.44383,0.96846,0,0.00148546,0.00148546,0.00148546
13,249.12,0.51964,0.71858,0.48409,0.93348,0,0.98847,0.97657,0.99199,0.85036,0.98847,0.97657,0.99199,0.87341,0.53686,0.73461,0.4005,0.99038,0,0.00146896,0.00146896,0.00146896
14,265.876,0.51267,0.67833,0.42852,0.91879,0,0.98838,0.99908,0.99473,0.88396,0.98838,0.99908,0.99473,0.89818,0.52162,0.75216,0.35409,0.98444,0,0.00145246,0.00145246,0.00145246
15,282.688,0.51511,0.7025,0.41275,0.9158,0,0.99598,0.9813,0.99203,0.88213,0.99598,0.9813,0.99203,0.89555,0.4875,0.71593,0.45609,0.96116,0,0.00143595,0.00143595,0.00143595
16,299.227,0.51284,0.71052,0.40458,0.90809,0,0.99128,0.99074,0.99337,0.88888,0.99593,0.99537,0.995,0.90577,0.49897,0.67967,0.31706,0.97112,0,0.00141945,0.00141945,0.00141945
17,315.929,0.53695,0.70616,0.419,0.91664,0,0.97888,0.98953,0.99358,0.87043,0.97888,0.98953,0.99342,0.88121,0.54108,0.76181,0.35313,0.98697,0,0.00140295,0.00140295,0.00140295
18,332.324,0.51106,0.69114,0.39103,0.91504,0,0.9688,0.9061,0.995,0.88132,0.9688,0.9061,0.995,0.89723,0.50064,0.71883,0.43549,0.96658,0,0.00138644,0.00138644,0.00138644
19,348.984,0.48965,0.65708,0.37304,0.90735,0,0.9977,0.99537,0.995,0.89165,0.9977,0.99537,0.995,0.89393,0.46108,0.68259,0.28745,0.94344,0,0.00136994,0.00136994,0.00136994
20,365.572,0.48419,0.66187,0.36045,0.90226,0,0.97029,0.98475,0.99261,0.8858,0.96121,0.99074,0.992,0.89347,0.50868,0.71856,0.33097,0.96298,0,0.00135344,0.00135344,0.00135344
21,382.165,0.5057,0.68408,0.36789,0.90964,0,0.99019,0.98611,0.99425,0.89568,0.99019,0.98611,0.99425,0.90265,0.48294,0.72443,0.31862,0.95039,0,0.00133693,0.00133693,0.00133693
22,399.164,0.49824,0.70825,0.35558,0.91136,0,0.98729,0.99537,0.99407,0.88554,0.98729,0.99537,0.99407,0.89351,0.50326,0.72813,0.3589,0.98214,0,0.00132043,0.00132043,0.00132043
23,415.675,0.50571,0.6818,0.35214,0.90163,0,0.98872,1,0.99482,0.89102,0.98872,1,0.99482,0.90278,0.46111,0.71037,0.28575,0.94919,0,0.00130393,0.00130393,0.00130393
24,432.277,0.49888,0.70195,0.34547,0.91439,0,0.99593,1,0.995,0.87296,0.99593,1,0.995,0.88101,0.49105,0.70846,0.37919,0.96163,0,0.00128742,0.00128742,0.00128742
25,448.686,0.50781,0.67321,0.35258,0.90337,0,0.99606,0.94907,0.98761,0.86461,0.99606,0.94907,0.98761,0.87754,0.50588,0.75521,0.38812,0.96549,0,0.00127092,0.00127092,0.00127092
26,465.09,0.50611,0.67468,0.34694,0.90702,0,0.98751,0.98611,0.99207,0.87705,0.9782,0.97685,0.98644,0.88644,0.49193,0.72777,0.34488,0.96069,0,0.00125442,0.00125442,0.00125442
27,481.768,0.48196,0.64982,0.33409,0.90587,0,0.98907,1,0.99468,0.8835,0.98907,1,0.99468,0.89861,0.47248,0.72058,0.28597,0.9513,0,0.00123791,0.00123791,0.00123791
28,499.318,0.47778,0.67318,0.32457,0.90072,0,0.98766,1,0.99482,0.89418,0.98766,1,0.99482,0.90504,0.47112,0.70843,0.27203,0.95155,0,0.00122141,0.00122141,0.00122141
29,516.686,0.48443,0.63455,0.32293,0.89583,0,0.99375,0.99873,0.99491,0.89779,0.99375,0.99873,0.99491,0.9062,0.47449,0.70824,0.27106,0.94643,0,0.00120491,0.00120491,0.00120491
30,533.195,0.46781,0.64055,0.31445,0.89648,0,0.99133,1,0.99482,0.89542,0.99133,1,0.99482,0.90418,0.47013,0.71065,0.26984,0.94999,0,0.0011884,0.0011884,0.0011884
31,549.717,0.46798,0.62501,0.30909,0.89408,0,0.99777,1,0.995,0.90017,0.99777,1,0.995,0.91487,0.47492,0.65948,0.26376,0.94737,0,0.0011719,0.0011719,0.0011719
32,566.271,0.48905,0.63449,0.33102,0.90406,0,0.99364,1,0.99495,0.88776,0.99364,1,0.99495,0.90028,0.49607,0.70754,0.29416,0.96415,0,0.0011554,0.0011554,0.0011554
33,582.774,0.4763,0.64549,0.31883,0.89851,0,0.99349,1,0.99491,0.89509,0.99349,1,0.99491,0.90871,0.46283,0.67052,0.26678,0.9452,0,0.00113889,0.00113889,0.00113889
34,598.995,0.47293,0.62322,0.3121,0.89547,0,0.99273,1,0.99495,0.89857,0.99273,1,0.99495,0.91016,0.46654,0.67729,0.26956,0.94876,0,0.00112239,0.00112239,0.00112239
35,615.364,0.46878,0.66048,0.31171,0.90706,0,0.9885,0.99912,0.99435,0.88769,0.9885,0.99912,0.99435,0.90347,0.50326,0.67937,0.28237,0.95753,0,0.00110589,0.00110589,0.00110589
36,631.839,0.47153,0.63306,0.30433,0.90005,0,0.9929,1,0.995,0.89929,0.9929,1,0.995,0.90965,0.4604,0.67102,0.26719,0.95292,0,0.00108938,0.00108938,0.00108938
37,648.296,0.46134,0.64122,0.29477,0.89686,0,0.9918,1,0.99491,0.90132,0.9918,1,0.99491,0.91271,0.48189,0.68924,0.25125,0.9634,0,0.00107288,0.00107288,0.00107288
38,664.796,0.46686,0.65057,0.29262,0.88745,0,0.99165,1,0.99495,0.9067,0.99165,1,0.99495,0.91181,0.4642,0.72105,0.24923,0.95223,0,0.00105638,0.00105638,0.00105638
39,681.479,0.47005,0.6309,0.29455,0.90181,0,0.98888,0.99622,0.99425,0.89918,0.98888,0.99622,0.99425,0.90026,0.45724,0.69252,0.25719,0.9482,0,0.00103987,0.00103987,0.00103987
40,697.817,0.47221,0.65141,0.29551,0.90318,0,0.99824,0.99356,0.995,0.90961,0.99824,0.99356,0.995,0.90717,0.47342,0.67985,0.26951,0.9477,0,0.00102337,0.00102337,0.00102337
41,714.14,0.46704,0.63796,0.29285,0.89147,0,0.98891,1,0.99495,0.8981,0.98891,1,0.99495,0.90912,0.47324,0.67151,0.25066,0.96185,0,0.00100687,0.00100687,0.00100687
42,730.546,0.43286,0.60856,0.27438,0.88185,0,0.99162,1,0.99491,0.90876,0.99162,1,0.99491,0.9123,0.44085,0.64518,0.26594,0.93429,0,0.000990365,0.000990365,0.000990365
43,746.985,0.45826,0.61536,0.27965,0.89468,0,0.9966,0.99537,0.995,0.91063,0.9966,0.99537,0.995,0.91306,0.45341,0.66077,0.22942,0.93803,0,0.000973861,0.000973861,0.000973861
44,763.438,0.42817,0.59366,0.26701,0.88539,0,0.99891,0.99942,0.995,0.90985,0.99891,0.99942,0.995,0.9151,0.45433,0.67715,0.25388,0.94033,0,0.000957358,0.000957358,0.000957358
45,780.06,0.45636,0.6105,0.28527,0.88422,0,0.98969,0.99537,0.99495,0.90299,0.98969,0.99537,0.99495,0.90896,0.45638,0.67262,0.25069,0.93401,0,0.000940855,0.000940855,0.000940855
46,796.674,0.45955,0.63638,0.2899,0.88914,0,0.99747,1,0.995,0.90942,0.99747,1,0.995,0.9189,0.44162,0.68113,0.23787,0.93679,0,0.000924352,0.000924352,0.000924352
47,813.275,0.43775,0.60787,0.27667,0.88391,0,0.99413,0.99919,0.99495,0.91315,0.99413,0.99919,0.99495,0.91857,0.44826,0.69383,0.24548,0.93464,0,0.000907848,0.000907848,0.000907848
48,829.697,0.42396,0.58085,0.26583,0.87616,0,0.99934,0.97036,0.99188,0.89093,0.99934,0.97036,0.99188,0.89949,0.46608,0.68914,0.37479,0.95346,0,0.000891345,0.000891345,0.000891345
49,845.885,0.44606,0.62012,0.27127,0.88473,0,0.99139,0.99537,0.99495,0.89356,0.99139,0.99537,0.99495,0.89658,0.46742,0.71438,0.27906,0.96004,0,0.000874842,0.000874842,0.000874842
50,862.056,0.45349,0.62947,0.27766,0.88566,0,0.99029,0.99537,0.99495,0.9045,0.99029,0.99537,0.99477,0.91547,0.46199,0.7088,0.24937,0.94936,0,0.000858338,0.000858338,0.000858338
51,878.438,0.43257,0.59711,0.26765,0.8869,0,0.99209,1,0.995,0.91512,0.99209,1,0.995,0.92361,0.44361,0.67355,0.23018,0.9406,0,0.000841835,0.000841835,0.000841835
52,895.057,0.43958,0.62091,0.26839,0.87464,0,0.99759,1,0.995,0.89907,0.99297,0.99537,0.99458,0.90597,0.46899,0.72474,0.24258,0.94982,0,0.000825332,0.000825332,0.000825332
53,911.585,0.4469,0.6374,0.26993,0.88303,0,0.98812,1,0.99491,0.90118,0.98812,1,0.99491,0.9098,0.46776,0.7355,0.2475,0.94994,0,0.000808828,0.000808828,0.000808828
54,927.979,0.42978,0.63021,0.26176,0.88097,0,0.99774,1,0.995,0.91052,0.99774,1,0.995,0.91419,0.44423,0.71029,0.23213,0.94489,0,0.000792325,0.000792325,0.000792325
55,944.439,0.43551,0.60943,0.26715,0.88613,0,0.98969,0.99687,0.995,0.91341,0.98969,0.99687,0.995,0.91662,0.45482,0.7117,0.22948,0.94801,0,0.000775822,0.000775822,0.000775822
56,960.823,0.43801,0.61163,0.26564,0.8849,0,0.9974,1,0.995,0.912,0.9974,1,0.995,0.91464,0.4489,0.69942,0.25337,0.94604,0,0.000759318,0.000759318,0.000759318
57,977.328,0.43232,0.60168,0.2609,0.88244,0,0.99317,1,0.995,0.90908,0.99317,1,0.995,0.91564,0.44454,0.7192,0.23629,0.94443,0,0.000742815,0.000742815,0.000742815
58,993.693,0.4191,0.57383,0.24733,0.87093,0,0.99835,0.99918,0.995,0.91179,0.99835,0.99918,0.995,0.91313,0.43921,0.69852,0.23273,0.94509,0,0.000726312,0.000726312,0.000726312
59,1009.99,0.4339,0.61397,0.25382,0.88645,0,0.99475,1,0.995,0.91677,0.99475,1,0.995,0.91762,0.43108,0.65747,0.21409,0.9376,0,0.000709809,0.000709809,0.000709809
60,1026.46,0.43194,0.58595,0.25565,0.87909,0,0.98856,0.99537,0.99482,0.90832,0.98856,0.99537,0.99482,0.90602,0.43588,0.7013,0.22746,0.93824,0,0.000693305,0.000693305,0.000693305
61,1042.85,0.42425,0.59536,0.25529,0.87572,0,0.99603,1,0.995,0.90611,0.99603,1,0.995,0.91557,0.45477,0.6779,0.25371,0.93908,0,0.000676802,0.000676802,0.000676802
62,1059.37,0.40569,0.55141,0.24012,0.86922,0,0.99497,1,0.995,0.9118,0.99497,1,0.995,0.91375,0.41749,0.719,0.22842,0.93483,0,0.000660299,0.000660299,0.000660299
63,1075.72,0.42065,0.57814,0.24726,0.87526,0,0.99871,0.99832,0.995,0.9082,0.99871,0.99832,0.995,0.9144,0.4455,0.67636,0.23125,0.94,0,0.000643795,0.000643795,0.000643795
64,1092.09,0.42231,0.59717,0.25357,0.8729,0,0.99233,1,0.995,0.90015,0.99233,1,0.995,0.90485,0.46129,0.69183,0.23822,0.94362,0,0.000627292,0.000627292,0.000627292
65,1108.5,0.4148,0.59842,0.24257,0.86919,0,0.99731,1,0.995,0.90859,0.99731,1,0.995,0.91703,0.43232,0.67177,0.22416,0.93468,0,0.000610789,0.000610789,0.000610789
66,1124.74,0.41519,0.58125,0.24443,0.87185,0,0.99841,1,0.995,0.91889,0.99841,1,0.995,0.91592,0.42278,0.69627,0.21359,0.93456,0,0.000594286,0.000594286,0.000594286
67,1141,0.40951,0.56903,0.23679,0.86404,0,0.99752,1,0.995,0.91111,0.99752,1,0.995,0.92007,0.42865,0.66774,0.21849,0.93565,0,0.000577782,0.000577782,0.000577782
68,1157.33,0.39764,0.5773,0.23338,0.86633,0,0.99399,1,0.995,0.91355,0.99399,1,0.995,0.91996,0.43958,0.70984,0.21541,0.93684,0,0.000561279,0.000561279,0.000561279
69,1173.88,0.38774,0.56662,0.22951,0.87314,0,0.98917,1,0.99495,0.91362,0.98917,1,0.99495,0.91635,0.43474,0.69153,0.22354,0.93609,0,0.000544776,0.000544776,0.000544776
70,1190.18,0.401,0.56283,0.23364,0.85994,0,0.99672,1,0.995,0.91164,0.99672,1,0.995,0.91907,0.431,0.7051,0.21807,0.93838,0,0.000528272,0.000528272,0.000528272
71,1206.61,0.39799,0.56884,0.23285,0.87456,0,0.99401,1,0.995,0.91095,0.99401,1,0.995,0.91658,0.43795,0.72026,0.21595,0.93658,0,0.000511769,0.000511769,0.000511769
72,1222.84,0.39981,0.57362,0.23585,0.86821,0,0.99857,1,0.995,0.9192,0.99857,1,0.995,0.92474,0.42475,0.67804,0.20544,0.93126,0,0.000495266,0.000495266,0.000495266
73,1239.12,0.38766,0.53934,0.23103,0.8587,0,0.98849,1,0.99481,0.91362,0.98849,1,0.99481,0.91777,0.43691,0.7168,0.20681,0.93945,0,0.000478762,0.000478762,0.000478762
