epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1547,0.73096,1.93469,2.44103,1.093,0,1,0.46804,0.75732,0.68936,1,0.46804,0.7577,0.71134,0.59228,1.04007,2.44261,1.08859,0,0.00045009,0.00045009,0.00045009
2,64.9604,0.62934,0.87535,1.22776,0.9753,0,0.95781,0.91209,0.94697,0.79568,0.96252,0.91727,0.96469,0.85168,0.5924,0.81148,1.47445,1.04444,0,0.000907773,0.000907773,0.000907773
3,85.2597,0.6337,0.83449,1.15086,0.99163,0,0.66963,0.83338,0.83924,0.71427,0.6709,0.8382,0.84396,0.77425,0.68721,0.91665,1.80709,1.17958,0,0.00135621,0.00135621,0.00135621
4,102.157,0.63353,0.81603,1.03178,0.97473,0,0.90548,0.88462,0.95569,0.83215,0.91088,0.88883,0.9612,0.85551,0.59142,0.82598,1.01847,1.05199,0,0.00161749,0.00161749,0.00161749
5,119.268,0.60117,0.81413,0.89427,0.95144,0,0.86654,0.93511,0.93511,0.79645,0.8626,0.93048,0.92854,0.80613,0.54585,1.06337,0.87423,1.01559,0,0.00160099,0.00160099,0.00160099
6,136.073,0.59665,0.77993,0.77733,0.93812,0,0.95065,0.97685,0.97929,0.85233,0.95535,0.98148,0.98247,0.8816,0.53525,0.7714,0.66204,0.99314,0,0.00158448,0.00158448,0.00158448
7,152.976,0.61178,0.79665,0.71872,0.95797,0,0.97222,0.97685,0.98282,0.88583,0.97222,0.97685,0.98347,0.90423,0.47316,0.64778,0.6377,0.9645,0,0.00156798,0.00156798,0.00156798
8,169.739,0.58298,0.744,0.66196,0.94712,0,0.96694,0.97318,0.98891,0.87067,0.96694,0.97318,0.98617,0.89209,0.50893,0.67927,0.56704,0.9727,0,0.00155148,0.00155148,0.00155148
9,186.218,0.59594,0.75924,0.61182,0.95373,0,0.98358,0.99537,0.99358,0.90163,0.98358,0.99537,0.99358,0.91625,0.44272,0.61867,0.42685,0.94238,0,0.00153497,0.00153497,0.00153497
10,203.075,0.5523,0.71204,0.55998,0.9325,0,0.89515,0.92593,0.94605,0.82221,0.89515,0.92593,0.94535,0.85317,0.49884,0.65973,0.56563,0.97562,0,0.00151847,0.00151847,0.00151847
11,219.711,0.55808,0.73229,0.52752,0.93006,0,0.97881,0.97614,0.98999,0.87481,0.97881,0.97614,0.98999,0.89027,0.48774,0.6527,0.44199,0.98929,0,0.00150197,0.00150197,0.00150197
12,236.271,0.54784,0.74855,0.49897,0.93048,0,0.97875,0.97051,0.98998,0.87851,0.97875,0.97051,0.98998,0.8983,0.48716,0.58711,0.37434,0.96953,0,0.00148546,0.00148546,0.00148546
13,252.715,0.53982,0.71524,0.48266,0.93219,0,0.98173,0.98448,0.9916,0.89112,0.98173,0.98448,0.9916,0.90055,0.43837,0.69559,0.37059,0.93554,0,0.00146896,0.00146896,0.00146896
14,269.5,0.52332,0.7077,0.45105,0.92123,0,0.98849,0.99537,0.99375,0.89869,0.98391,0.99074,0.99253,0.90326,0.43099,0.60239,0.33209,0.94171,0,0.00145246,0.00145246,0.00145246
15,285.945,0.53069,0.71749,0.42521,0.91938,0,0.99338,0.99537,0.99269,0.89148,0.99338,0.99537,0.99269,0.90886,0.43594,0.62044,0.3027,0.95506,0,0.00143595,0.00143595,0.00143595
16,302.355,0.51957,0.71957,0.40436,0.91808,0,0.98808,0.99537,0.99381,0.89381,0.98808,0.99537,0.99381,0.91125,0.4792,0.60548,0.38132,0.95484,0,0.00141945,0.00141945,0.00141945
17,318.743,0.52031,0.68964,0.41047,0.91605,0,0.99002,0.99537,0.99431,0.89093,0.99002,0.99537,0.99431,0.89744,0.44738,0.66337,0.32044,0.94797,0,0.00140295,0.00140295,0.00140295
18,335.056,0.50949,0.71445,0.39114,0.92437,0,0.98265,0.96472,0.981,0.88538,0.98265,0.96472,0.98076,0.89427,0.44042,0.67515,0.33469,0.94916,0,0.00138644,0.00138644,0.00138644
19,351.458,0.51057,0.7069,0.39367,0.91556,0,0.98851,0.99435,0.9936,0.89985,0.98851,0.99435,0.9936,0.90522,0.44059,0.59095,0.28104,0.9388,0,0.00136994,0.00136994,0.00136994
20,368.023,0.52852,0.69701,0.38114,0.91831,0,0.98329,0.99537,0.99134,0.89347,0.98329,0.99537,0.99134,0.89701,0.44538,0.60457,0.2835,0.93479,0,0.00135344,0.00135344,0.00135344
21,384.349,0.51302,0.69874,0.36654,0.91286,0,0.98666,0.98962,0.99013,0.89306,0.98666,0.98962,0.99013,0.90042,0.41031,0.59705,0.36937,0.9271,0,0.00133693,0.00133693,0.00133693
22,400.863,0.52361,0.72028,0.36722,0.91791,0,0.9827,0.98148,0.99332,0.89368,0.9827,0.98148,0.99332,0.89381,0.46087,0.66468,0.43223,0.94076,0,0.00132043,0.00132043,0.00132043
23,417.181,0.5176,0.71367,0.36118,0.90854,0,0.98434,0.99455,0.99282,0.90824,0.98434,0.99455,0.99282,0.91088,0.4237,0.58808,0.27768,0.93842,0,0.00130393,0.00130393,0.00130393
24,433.7,0.51177,0.68886,0.34927,0.91464,0,0.98322,0.9594,0.99121,0.90426,0.98322,0.9594,0.99113,0.89725,0.43404,0.64871,0.36714,0.94605,0,0.00128742,0.00128742,0.00128742
25,450.133,0.51122,0.70269,0.35085,0.90797,0,0.97456,0.99074,0.99036,0.90455,0.97456,0.99074,0.99036,0.90831,0.42379,0.6193,0.28236,0.93599,0,0.00127092,0.00127092,0.00127092
26,466.607,0.51106,0.69781,0.34951,0.90697,0,0.98339,0.99074,0.98553,0.89182,0.98339,0.99074,0.98553,0.91093,0.4203,0.6093,0.27244,0.92437,0,0.00125442,0.00125442,0.00125442
27,482.893,0.48134,0.66013,0.3312,0.90701,0,0.98291,0.99537,0.99034,0.8869,0.98291,0.99537,0.99034,0.89694,0.43697,0.6531,0.27789,0.94438,0,0.00123791,0.00123791,0.00123791
28,499.405,0.48362,0.68651,0.32971,0.90768,0,0.98833,0.99537,0.99402,0.91408,0.98833,0.99537,0.99402,0.91493,0.40661,0.59974,0.24329,0.92272,0,0.00122141,0.00122141,0.00122141
29,516.082,0.49016,0.66148,0.33032,0.8967,0,0.98865,0.99537,0.99467,0.91324,0.98865,0.99537,0.99467,0.92933,0.4217,0.58461,0.2538,0.93148,0,0.00120491,0.00120491,0.00120491
30,532.661,0.48756,0.64339,0.31516,0.89359,0,0.97021,0.99537,0.99282,0.89948,0.97021,0.99537,0.99282,0.91275,0.43297,0.64533,0.29488,0.93779,0,0.0011884,0.0011884,0.0011884
