epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.967,0.73042,1.86954,2.36017,1.0723,0,1,0.47026,0.80476,0.68511,1,0.47026,0.80525,0.73951,0.69549,1.42366,2.39303,1.13562,0,0.00045009,0.00045009,0.00045009
2,68.1053,0.62753,0.84017,1.23205,0.98127,0,0.99001,0.44055,0.87274,0.77548,0.99001,0.44055,0.88039,0.787,0.56582,1.23231,2.16935,1.02754,0,0.000907773,0.000907773,0.000907773
3,88.0942,0.62056,0.79436,1.08993,0.98669,0,0.68039,0.668,0.81265,0.71331,0.68039,0.668,0.81274,0.73066,0.69609,1.07197,1.97663,1.12081,0,0.00135621,0.00135621,0.00135621
4,105.014,0.63647,0.82861,0.98167,0.9696,0,0.90815,0.75845,0.81575,0.72262,0.90815,0.75845,0.81535,0.74128,0.6222,0.94882,1.17591,1.07059,0,0.00161749,0.00161749,0.00161749
5,121.808,0.60191,0.78183,0.84682,0.95791,0,0.97873,0.88845,0.94008,0.81537,0.97873,0.88845,0.93975,0.84556,0.57959,0.85316,0.82561,1.01462,0,0.00160099,0.00160099,0.00160099
6,138.858,0.56563,0.75245,0.73912,0.93639,0,0.98781,0.96369,0.98613,0.8294,0.98781,0.96369,0.98796,0.84534,0.55079,1.05202,0.62923,1.01087,0,0.00158448,0.00158448,0.00158448
7,155.941,0.5541,0.75306,0.67453,0.93068,0,0.97444,0.98609,0.9917,0.86161,0.98757,0.97685,0.99203,0.87111,0.51595,0.76135,0.63846,0.98703,0,0.00156798,0.00156798,0.00156798
8,173.14,0.55838,0.73732,0.62757,0.93988,0,0.99016,0.98148,0.99431,0.87706,0.99016,0.98148,0.99431,0.88011,0.4828,0.73897,0.56137,0.97345,0,0.00155148,0.00155148,0.00155148
9,190.043,0.55072,0.73617,0.58865,0.94259,0,0.92678,0.92593,0.95601,0.83813,0.92678,0.92593,0.95601,0.86485,0.50529,0.66573,0.58289,0.99621,0,0.00153497,0.00153497,0.00153497
10,206.723,0.54597,0.72361,0.5469,0.92896,0,0.99151,0.97685,0.98703,0.84163,0.99151,0.97685,0.98703,0.87578,0.54835,0.7248,0.53347,1.0185,0,0.00151847,0.00151847,0.00151847
