,mAP50,mAP50,mAP50-95,mAP50-95,Precision,Precision,Recall,Recall
,mean,std,mean,std,mean,std,mean,std
repeticao,,,,,,,,
rep1,0.9946,0.0007,0.9187,0.0094,0.9925,0.0056,0.9962,0.0041
rep2,0.994,0.0014,0.9178,0.003,0.9937,0.0048,0.9951,0.0033
rep3,0.9941,0.0018,0.9176,0.0078,0.9939,0.0063,0.9953,0.0056
