epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7654,0.69601,1.50284,2.07236,0.99737,0,0.99697,0.73203,0.80626,0.71927,0.99697,0.73203,0.8069,0.7331,0.66851,0.81456,1.77909,0.87954,0,0.00045009,0.00045009,0.00045009
2,43.9345,0.64502,0.79767,0.89824,0.92453,0,0.67527,0.33749,0.71855,0.63126,0.67527,0.33749,0.71854,0.62763,0.67126,1.12179,2.15714,0.88262,0,0.000907773,0.000907773,0.000907773
3,61.4907,0.63746,0.77639,0.82444,0.9295,0,0.97621,0.72544,0.76371,0.65094,0.97621,0.72544,0.76731,0.7079,0.7623,0.97505,1.36519,0.94446,0,0.00135621,0.00135621,0.00135621
4,74.3908,0.64429,0.786,0.76895,0.92856,0,0.88759,0.78646,0.89144,0.7584,0.88759,0.78646,0.89193,0.76254,0.68622,1.01782,0.98422,0.87508,0,0.00161749,0.00161749,0.00161749
5,88.3485,0.59376,0.76316,0.68788,0.90998,0,0.82656,0.79981,0.83061,0.73895,0.82656,0.79981,0.82949,0.76564,0.60174,0.80084,0.94604,0.88618,0,0.00160099,0.00160099,0.00160099
6,101.802,0.5801,0.71156,0.62757,0.90388,0,0.97866,0.98264,0.99076,0.84572,0.97404,0.9781,0.98815,0.86084,0.55402,0.81912,0.57169,0.85338,0,0.00158448,0.00158448,0.00158448
7,114.833,0.56684,0.69622,0.58693,0.89775,0,0.98099,0.98611,0.99251,0.86698,0.98099,0.98611,0.99251,0.86057,0.55441,0.76784,0.5975,0.86181,0,0.00156798,0.00156798,0.00156798
8,125.924,0.56692,0.71835,0.56324,0.91397,0,0.97917,0.99074,0.99421,0.85478,0.97917,0.99074,0.99421,0.88124,0.57445,0.68788,0.47891,0.83961,0,0.00155148,0.00155148,0.00155148
9,138.251,0.5734,0.71066,0.53826,0.90902,0,0.97885,0.97685,0.98949,0.87296,0.97417,0.97222,0.98671,0.86452,0.48801,0.66991,0.48486,0.8291,0,0.00153497,0.00153497,0.00153497
10,149.819,0.55505,0.68516,0.51127,0.8923,0,0.98477,0.98752,0.99047,0.86837,0.98477,0.98752,0.99047,0.88975,0.52467,0.682,0.41348,0.83143,0,0.00151847,0.00151847,0.00151847
11,161.658,0.5557,0.69405,0.49441,0.90142,0,0.98093,0.99537,0.993,0.87165,0.97634,0.99074,0.99238,0.85974,0.51481,0.75478,0.4448,0.83369,0,0.00150197,0.00150197,0.00150197
12,173.151,0.54368,0.6763,0.47498,0.8927,0,0.99612,0.99904,0.995,0.8868,0.99149,0.99441,0.99486,0.87888,0.49751,0.69209,0.36495,0.80966,0,0.00148546,0.00148546,0.00148546
13,186.607,0.52592,0.66438,0.45259,0.90341,0,0.97278,0.98611,0.98875,0.86996,0.97278,0.98611,0.98529,0.85995,0.49212,0.677,0.41681,0.82184,0,0.00146896,0.00146896,0.00146896
14,198.355,0.5247,0.6908,0.4326,0.89329,0,0.97684,0.99074,0.99328,0.85816,0.98664,0.97222,0.99232,0.87206,0.54793,0.68823,0.39576,0.85722,0,0.00145246,0.00145246,0.00145246
15,210.202,0.53172,0.65119,0.4225,0.88727,0,0.87426,0.96535,0.94832,0.84323,0.87426,0.96535,0.94832,0.84445,0.45997,0.67897,0.48955,0.80276,0,0.00143595,0.00143595,0.00143595
16,223.942,0.51117,0.64768,0.40828,0.88776,0,0.9879,0.99537,0.99482,0.88232,0.98332,0.99074,0.99446,0.88201,0.48431,0.69352,0.38021,0.81169,0,0.00141945,0.00141945,0.00141945
17,236.851,0.52802,0.66899,0.41915,0.8918,0,0.99654,0.9948,0.995,0.89408,0.99186,0.99017,0.99482,0.88435,0.46853,0.6306,0.3543,0.81547,0,0.00140295,0.00140295,0.00140295
18,249.708,0.51415,0.64604,0.4003,0.8915,0,0.98103,0.99537,0.9943,0.88063,0.98103,0.99537,0.9943,0.87672,0.48205,0.66992,0.34771,0.82718,0,0.00138644,0.00138644,0.00138644
19,262.505,0.49055,0.63478,0.39058,0.88201,0,0.99704,0.96759,0.99343,0.89232,0.99704,0.96759,0.99343,0.88637,0.4627,0.63558,0.34302,0.82428,0,0.00136994,0.00136994,0.00136994
20,274.823,0.50894,0.66297,0.3814,0.88715,0,0.99313,0.98611,0.99345,0.88407,0.99313,0.98611,0.99345,0.89332,0.49436,0.65873,0.3678,0.82391,0,0.00135344,0.00135344,0.00135344
21,286.888,0.51224,0.6571,0.38949,0.88459,0,0.99315,0.97685,0.99419,0.8852,0.99315,0.97685,0.99419,0.89609,0.47065,0.63341,0.32411,0.82134,0,0.00133693,0.00133693,0.00133693
22,298.29,0.52133,0.64953,0.38009,0.89045,0,0.99782,0.99537,0.995,0.87885,0.99782,0.99537,0.995,0.85325,0.50316,0.66807,0.35815,0.82328,0,0.00132043,0.00132043,0.00132043
23,311.808,0.50719,0.64626,0.36706,0.8837,0,0.99164,0.98611,0.99319,0.88208,0.99164,0.98611,0.99319,0.87599,0.45225,0.62772,0.30827,0.81235,0,0.00130393,0.00130393,0.00130393
24,324.745,0.49682,0.62548,0.36352,0.87625,0,0.98376,0.99537,0.99453,0.89534,0.98376,0.99537,0.99453,0.88789,0.46798,0.64801,0.3188,0.81881,0,0.00128742,0.00128742,0.00128742
25,337.343,0.51333,0.6567,0.36544,0.88753,0,0.99142,0.99537,0.99463,0.89664,0.99142,0.99537,0.99463,0.89395,0.49044,0.62379,0.31056,0.83163,0,0.00127092,0.00127092,0.00127092
