epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7116,0.70172,1.42985,2.08267,0.99335,0,0.99635,0.5597,0.75493,0.6847,0.99635,0.5597,0.75479,0.69836,0.63631,0.98048,1.82575,0.8269,0,0.00045009,0.00045009,0.00045009
2,42.9992,0.65933,0.82341,0.89806,0.91885,0,0.92112,0.69774,0.76578,0.69577,0.92112,0.69774,0.76551,0.69724,0.68469,1.02312,1.7234,0.86472,0,0.000907773,0.000907773,0.000907773
3,58.9673,0.63559,0.84094,0.80564,0.91603,0,0.98758,0.75945,0.82494,0.72581,0.98758,0.75945,0.825,0.73946,0.63226,1.07848,0.93142,0.82985,0,0.00135621,0.00135621,0.00135621
4,71.0821,0.61511,0.74916,0.73979,0.89514,0,0.93188,0.86239,0.92419,0.8016,0.93188,0.86239,0.92366,0.81594,0.60458,0.93245,0.82279,0.83239,0,0.00161749,0.00161749,0.00161749
5,82.7655,0.60793,0.7448,0.68926,0.89816,0,0.93316,0.93018,0.96144,0.82114,0.9378,0.93477,0.951,0.7841,0.60903,1.18993,0.68123,0.82304,0,0.00160099,0.00160099,0.00160099
6,95.2163,0.5906,0.72973,0.63401,0.89515,0,0.84739,0.86687,0.89258,0.772,0.8623,0.8618,0.89699,0.78176,0.56354,1.45568,0.69433,0.8134,0,0.00158448,0.00158448,0.00158448
7,106.076,0.57234,0.71139,0.59739,0.88458,0,0.95717,0.97002,0.9781,0.83088,0.95268,0.96543,0.9762,0.83808,0.62792,1.0304,0.5931,0.84929,0,0.00156798,0.00156798,0.00156798
8,117.095,0.57568,0.73021,0.56641,0.8808,0,0.98766,0.99083,0.99362,0.86601,0.98766,0.99083,0.99362,0.86446,0.64076,0.86918,0.578,0.83706,0,0.00155148,0.00155148,0.00155148
9,128.746,0.56091,0.65684,0.53194,0.89035,0,0.98316,0.99382,0.99055,0.84792,0.98316,0.99382,0.99055,0.84182,0.58224,0.85569,0.43742,0.80574,0,0.00153497,0.00153497,0.00153497
10,140.059,0.57324,0.71815,0.52186,0.89304,0,0.97041,0.98247,0.98739,0.86467,0.97634,0.98624,0.99035,0.86151,0.55902,0.82727,0.51935,0.80918,0,0.00151847,0.00151847,0.00151847
11,151.997,0.52836,0.67157,0.48014,0.87686,0,0.97806,0.97295,0.98858,0.84886,0.98273,0.97753,0.993,0.83724,0.56621,0.83346,0.43151,0.81824,0,0.00150197,0.00150197,0.00150197
12,162.307,0.54151,0.64606,0.48152,0.88423,0,0.99827,0.98507,0.9946,0.84858,0.99827,0.98507,0.9946,0.86595,0.5918,0.84359,0.42425,0.82415,0,0.00148546,0.00148546,0.00148546
13,173.381,0.5954,0.71004,0.50019,0.8971,0,0.97806,0.98567,0.98496,0.85037,0.97351,0.98108,0.97993,0.82777,0.56649,0.90953,0.37754,0.81123,0,0.00146896,0.00146896,0.00146896
