epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6249,0.72057,1.81426,2.36139,1.06971,0,1,0.48267,0.71492,0.61182,1,0.48267,0.71867,0.66399,0.73408,1.80857,2.55691,1.24731,0,0.00045009,0.00045009,0.00045009
2,63.3966,0.62367,0.86828,1.22034,0.98204,0,0.96427,0.71101,0.75488,0.68377,0.96427,0.71101,0.75482,0.68906,0.69978,1.11542,2.04829,1.11908,0,0.000907773,0.000907773,0.000907773
3,82.659,0.63182,0.82059,1.10935,0.97074,0,0.92298,0.8211,0.88807,0.75531,0.92298,0.8211,0.89101,0.78765,0.63526,0.8969,1.28496,1.05297,0,0.00135621,0.00135621,0.00135621
4,99.8754,0.63684,0.79362,0.98654,0.97381,0,0.92984,0.93119,0.97368,0.79775,0.92984,0.93119,0.97368,0.83926,0.70109,0.82853,1.00223,1.11359,0,0.00161749,0.00161749,0.00161749
5,116.63,0.61336,0.78355,0.89717,0.96407,0,0.95136,0.90826,0.93956,0.78648,0.96407,0.89649,0.93549,0.81683,0.6351,0.95319,0.84601,1.0847,0,0.00160099,0.00160099,0.00160099
6,133.214,0.59205,0.8039,0.77257,0.94189,0,0.96878,0.97323,0.98854,0.85065,0.96878,0.97323,0.98819,0.86352,0.54271,0.76908,0.65372,1.00858,0,0.00158448,0.00158448,0.00158448
7,150.225,0.58204,0.74741,0.6853,0.93548,0,0.97987,0.99083,0.98675,0.85865,0.97987,0.99083,0.98675,0.88578,0.52644,0.71846,0.58307,0.97551,0,0.00156798,0.00156798,0.00156798
8,167.188,0.56936,0.74288,0.6453,0.93673,0,0.99693,0.99459,0.995,0.8807,0.99693,0.99459,0.995,0.9061,0.49581,0.65029,0.50231,0.9667,0,0.00155148,0.00155148,0.00155148
9,184.311,0.56882,0.76704,0.61752,0.95411,0,0.99078,0.97706,0.99038,0.87506,0.99078,0.97706,0.99038,0.89658,0.50039,0.70864,0.51362,1.00087,0,0.00153497,0.00153497,0.00153497
10,201.061,0.56694,0.76122,0.58302,0.94662,0,0.97254,0.91453,0.95415,0.81767,0.97254,0.91453,0.95525,0.84207,0.53532,0.75338,0.56791,1.01397,0,0.00151847,0.00151847,0.00151847
11,217.898,0.56357,0.74705,0.52115,0.93383,0,0.97937,0.95412,0.97642,0.82848,0.97937,0.95412,0.97642,0.85542,0.5444,0.71523,0.44894,0.99652,0,0.00150197,0.00150197,0.00150197
12,234.675,0.5623,0.75289,0.53129,0.93563,0,0.91711,0.73853,0.82275,0.72004,0.91076,0.73394,0.81658,0.71919,0.63616,0.94726,0.89879,1.09339,0,0.00148546,0.00148546,0.00148546
13,251.602,0.56762,0.74964,0.50181,0.95075,0,0.9869,0.95413,0.98807,0.85928,0.99243,0.95872,0.98618,0.88125,0.4889,0.72557,0.42273,0.96451,0,0.00146896,0.00146896,0.00146896
14,268.622,0.52803,0.70478,0.4478,0.92439,0,0.98607,0.99083,0.9918,0.85063,0.98607,0.99083,0.9918,0.87311,0.56386,0.75299,0.38122,0.98154,0,0.00145246,0.00145246,0.00145246
15,285.438,0.55267,0.82107,0.45978,0.93518,0,0.98209,0.97585,0.99176,0.88227,0.98209,0.97585,0.99176,0.8978,0.50584,0.65095,0.3798,0.97122,0,0.00143595,0.00143595,0.00143595
16,302.135,0.53511,0.72266,0.42575,0.92066,0,0.96851,0.99046,0.99154,0.87386,0.96408,0.98588,0.98972,0.88761,0.50251,0.6811,0.36368,0.95679,0,0.00141945,0.00141945,0.00141945
17,318.937,0.52655,0.71008,0.40729,0.91994,0,0.9911,0.97678,0.99413,0.88412,0.9911,0.97678,0.99409,0.90163,0.47917,0.70174,0.4457,0.96022,0,0.00140295,0.00140295,0.00140295
18,335.707,0.51104,0.70036,0.39888,0.92026,0,0.99247,0.98958,0.99441,0.88275,0.99247,0.98958,0.99441,0.90361,0.48194,0.674,0.32273,0.95151,0,0.00138644,0.00138644,0.00138644
19,352.067,0.53649,0.6865,0.4074,0.92637,0,0.99746,0.99083,0.99486,0.8743,0.99746,0.99083,0.99486,0.88994,0.52024,0.68321,0.32367,0.9665,0,0.00136994,0.00136994,0.00136994
20,368.524,0.53019,0.70134,0.39352,0.91893,0,0.98771,0.98624,0.99417,0.8618,0.98216,0.99225,0.99421,0.87658,0.49196,0.70252,0.33791,0.97321,0,0.00135344,0.00135344,0.00135344
21,385.354,0.50981,0.69967,0.37898,0.91987,0,0.99332,0.99541,0.99436,0.87719,0.99332,0.99541,0.99436,0.89668,0.47259,0.66841,0.29475,0.95021,0,0.00133693,0.00133693,0.00133693
22,401.82,0.51284,0.6783,0.36373,0.91973,0,0.9926,0.99022,0.99482,0.86677,0.9926,0.99022,0.99482,0.89513,0.53981,0.67173,0.34609,0.98346,0,0.00132043,0.00132043,0.00132043
23,418.354,0.53629,0.69558,0.38202,0.92108,0,0.95202,0.93329,0.9935,0.87973,0.95202,0.93329,0.99368,0.90406,0.48835,0.65951,0.48825,0.96688,0,0.00130393,0.00130393,0.00130393
24,434.898,0.48374,0.66488,0.34512,0.9114,0,0.99259,0.9946,0.99472,0.89041,0.99259,0.9946,0.99472,0.90001,0.47154,0.67543,0.27637,0.95307,0,0.00128742,0.00128742,0.00128742
25,451.851,0.53635,0.74814,0.3602,0.90802,0,0.99282,0.99541,0.99454,0.89092,0.99282,0.99541,0.99454,0.90096,0.50111,0.68703,0.30087,0.96879,0,0.00127092,0.00127092,0.00127092
26,468.745,0.48419,0.66846,0.33169,0.90063,0,0.97828,0.99083,0.99288,0.89544,0.98278,0.99541,0.99383,0.908,0.46925,0.64906,0.29577,0.95925,0,0.00125442,0.00125442,0.00125442
27,485.337,0.48366,0.67591,0.32767,0.90101,0,0.99197,0.99946,0.99491,0.89725,0.99197,0.99946,0.99491,0.91091,0.46538,0.64744,0.26636,0.94928,0,0.00123791,0.00123791,0.00123791
28,502.028,0.48226,0.67913,0.32942,0.90237,0,0.99695,0.99995,0.995,0.9024,0.99695,0.99995,0.995,0.91172,0.46924,0.62934,0.2747,0.94759,0,0.00122141,0.00122141,0.00122141
29,518.916,0.49302,0.66501,0.32831,0.90327,0,0.98697,0.99541,0.99331,0.89296,0.98697,0.99541,0.99331,0.90375,0.4727,0.69194,0.28925,0.95833,0,0.00120491,0.00120491,0.00120491
30,534.959,0.50664,0.65693,0.33356,0.91265,0,0.98397,0.99541,0.9927,0.88299,0.98397,0.99541,0.9927,0.90114,0.51929,0.67459,0.30007,0.96585,0,0.0011884,0.0011884,0.0011884
31,552.7,0.47662,0.67449,0.31413,0.8969,0,0.99699,0.99083,0.99495,0.90126,0.99699,0.99083,0.99495,0.91543,0.46833,0.67098,0.2597,0.95557,0,0.0011719,0.0011719,0.0011719
32,569.261,0.48796,0.69704,0.31995,0.91438,0,0.99798,0.99541,0.995,0.88503,0.99798,0.99541,0.995,0.90723,0.47651,0.63849,0.27515,0.95804,0,0.0011554,0.0011554,0.0011554
33,585.898,0.50113,0.67217,0.33435,0.90981,0,0.99469,0.99541,0.995,0.88712,0.99469,0.99541,0.995,0.90409,0.50226,0.64271,0.31081,0.97672,0,0.00113889,0.00113889,0.00113889
34,602.317,0.47633,0.66108,0.31458,0.90184,0,0.99139,0.99541,0.99436,0.89185,0.99603,1,0.995,0.90785,0.49681,0.67091,0.27369,0.96644,0,0.00112239,0.00112239,0.00112239
35,618.538,0.4857,0.68573,0.31756,0.91887,0,0.99255,0.99083,0.99407,0.89606,0.99255,0.99083,0.99407,0.90191,0.46022,0.6848,0.28765,0.95615,0,0.00110589,0.00110589,0.00110589
36,634.816,0.47095,0.65893,0.30934,0.89998,0,0.99332,0.99541,0.99445,0.8862,0.99332,0.99541,0.99445,0.90299,0.45593,0.70393,0.25873,0.95695,0,0.00108938,0.00108938,0.00108938
37,651.264,0.45501,0.6262,0.29011,0.8934,0,0.98854,0.99541,0.99463,0.91108,0.98854,0.99541,0.99463,0.91397,0.46322,0.66596,0.25554,0.93688,0,0.00107288,0.00107288,0.00107288
38,667.856,0.49004,0.66009,0.30823,0.90073,0,0.99102,0.99541,0.99459,0.91277,0.99102,0.99541,0.99459,0.91967,0.45534,0.65991,0.25242,0.93324,0,0.00105638,0.00105638,0.00105638
39,684.59,0.49494,0.66246,0.30543,0.89892,0,0.9989,0.99983,0.995,0.91361,0.9989,0.99983,0.995,0.9156,0.4449,0.64224,0.2359,0.93069,0,0.00103987,0.00103987,0.00103987
40,701.183,0.4713,0.65239,0.29588,0.88878,0,0.98422,0.99541,0.99369,0.89204,0.98422,0.99541,0.99369,0.89912,0.47908,0.74316,0.33244,0.95665,0,0.00102337,0.00102337,0.00102337
41,717.725,0.46434,0.65177,0.30298,0.89466,0,0.99345,0.99541,0.99477,0.90152,0.99345,0.99541,0.99477,0.90332,0.48288,0.67523,0.25126,0.96568,0,0.00100687,0.00100687,0.00100687
42,734.151,0.45737,0.63574,0.28243,0.8921,0,0.99359,0.99541,0.99495,0.9059,0.99359,0.99541,0.99495,0.91231,0.44246,0.65397,0.24367,0.93494,0,0.000990365,0.000990365,0.000990365
43,750.362,0.46002,0.64855,0.28818,0.88868,0,0.99774,1,0.995,0.9044,0.99774,1,0.995,0.90963,0.46496,0.6997,0.2478,0.94187,0,0.000973861,0.000973861,0.000973861
44,766.856,0.44436,0.61852,0.27835,0.89013,0,0.99336,0.99541,0.99477,0.90675,0.99336,0.99541,0.99477,0.9175,0.46526,0.68777,0.24576,0.93539,0,0.000957358,0.000957358,0.000957358
45,783.304,0.47553,0.67464,0.29387,0.89231,0,0.99327,0.98165,0.9905,0.88749,0.99327,0.98165,0.9905,0.89962,0.4806,0.67135,0.27579,0.9433,0,0.000940855,0.000940855,0.000940855
46,799.729,0.45803,0.63455,0.27901,0.89549,0,0.9885,0.99534,0.99445,0.90974,0.9885,0.99534,0.99445,0.91982,0.45277,0.69126,0.22756,0.93752,0,0.000924352,0.000924352,0.000924352
47,816.343,0.44636,0.6192,0.27495,0.88926,0,0.98775,0.99492,0.99477,0.89733,0.98775,0.99492,0.99477,0.91638,0.46369,0.6322,0.23696,0.93999,0,0.000907848,0.000907848,0.000907848
48,832.988,0.43905,0.61226,0.27481,0.87766,0,0.99377,0.99541,0.99468,0.90987,0.99377,0.99541,0.99468,0.91908,0.43735,0.64264,0.25188,0.92918,0,0.000891345,0.000891345,0.000891345
49,849.568,0.44244,0.63355,0.27616,0.88943,0,0.98839,0.99083,0.99454,0.92201,0.99403,0.98838,0.99482,0.92373,0.43586,0.63791,0.24908,0.92013,0,0.000874842,0.000874842,0.000874842
50,866.363,0.43498,0.61695,0.27231,0.88559,0,0.99703,0.99541,0.995,0.91285,0.99703,0.99541,0.995,0.91893,0.43835,0.65938,0.23693,0.93516,0,0.000858338,0.000858338,0.000858338
51,882.772,0.45477,0.66159,0.27739,0.89334,0,0.99319,0.99541,0.99408,0.9141,0.99319,0.99541,0.99408,0.9157,0.4522,0.69721,0.24052,0.9491,0,0.000841835,0.000841835,0.000841835
52,899.591,0.45105,0.61013,0.26938,0.88244,0,0.99374,0.99541,0.99413,0.90964,0.99374,0.99541,0.99413,0.91366,0.47245,0.71743,0.24016,0.95362,0,0.000825332,0.000825332,0.000825332
53,915.911,0.48984,0.67825,0.29801,0.90686,0,0.99337,0.99046,0.99445,0.90459,0.99337,0.99046,0.99445,0.90344,0.45866,0.6739,0.24185,0.93128,0,0.000808828,0.000808828,0.000808828
54,932.77,0.43633,0.60606,0.26242,0.87808,0,0.99158,1,0.99482,0.91181,0.99158,1,0.99482,0.91903,0.45775,0.66686,0.23271,0.93687,0,0.000792325,0.000792325,0.000792325
55,949.414,0.44111,0.60426,0.2609,0.88125,0,0.99309,0.99541,0.99408,0.91854,0.99309,0.99541,0.99408,0.92909,0.45152,0.68465,0.23024,0.94212,0,0.000775822,0.000775822,0.000775822
56,966.698,0.44518,0.60263,0.2689,0.88205,0,0.99346,1,0.995,0.91043,0.99346,1,0.995,0.92449,0.4707,0.62646,0.22299,0.93546,0,0.000759318,0.000759318,0.000759318
57,984.032,0.44019,0.60371,0.25951,0.88541,0,0.99301,1,0.99495,0.91301,0.99301,1,0.99495,0.92707,0.44391,0.63301,0.2376,0.93156,0,0.000742815,0.000742815,0.000742815
58,1001.2,0.44152,0.58757,0.26033,0.88458,0,0.98944,0.99529,0.99445,0.91357,0.98944,0.99529,0.99445,0.92316,0.47475,0.66037,0.25883,0.94506,0,0.000726312,0.000726312,0.000726312
