epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9274,0.71413,1.61618,2.07087,1.00718,0,1,0.53125,0.73822,0.66138,1,0.53125,0.73998,0.67981,0.68304,0.92656,2.16933,0.89764,0,0.00045009,0.00045009,0.00045009
2,44.9144,0.62701,0.77386,0.90442,0.9218,0,0.69945,0.77315,0.78594,0.70829,0.69668,0.77315,0.79041,0.7226,0.61017,1.02222,1.70189,0.83885,0,0.000907773,0.000907773,0.000907773
3,63.3595,0.62582,0.82824,0.82329,0.93279,0,0.97488,0.77778,0.83806,0.71991,0.97488,0.77778,0.84119,0.74682,0.68056,1.15527,1.06366,0.89312,0,0.00135621,0.00135621,0.00135621
4,75.0941,0.65223,0.8066,0.80857,0.93148,0,0.97998,0.81481,0.8948,0.77789,0.97998,0.81481,0.89581,0.79541,0.6157,0.93036,0.83753,0.86687,0,0.00161749,0.00161749,0.00161749
5,86.3033,0.59657,0.76869,0.70219,0.91285,0,0.9733,0.89352,0.95695,0.82893,0.9733,0.89352,0.95695,0.85233,0.5616,0.87193,0.66019,0.85527,0,0.00160099,0.00160099,0.00160099
6,99.0039,0.57589,0.72225,0.63653,0.90421,0,0.99312,0.97222,0.99388,0.84503,0.99312,0.97222,0.99388,0.85087,0.58406,0.82772,0.61294,0.85986,0,0.00158448,0.00158448,0.00158448
7,110.611,0.59074,0.76877,0.61159,0.91701,0,0.96299,0.95243,0.97591,0.84055,0.95822,0.9478,0.97462,0.85828,0.57671,0.7688,0.60994,0.85688,0,0.00156798,0.00156798,0.00156798
8,122.088,0.56868,0.73053,0.56843,0.90581,0,0.96941,0.98611,0.99285,0.8536,0.96941,0.98611,0.99285,0.86421,0.56259,0.78314,0.53853,0.83507,0,0.00155148,0.00155148,0.00155148
9,134.157,0.57761,0.70608,0.54186,0.90936,0,0.98112,0.95273,0.98179,0.85322,0.98112,0.95273,0.98179,0.85664,0.53775,0.7769,0.51805,0.82414,0,0.00153497,0.00153497,0.00153497
10,145.147,0.537,0.67115,0.49975,0.88732,0,0.98611,0.98611,0.99237,0.87025,0.98611,0.98611,0.99237,0.86822,0.51062,0.73312,0.44055,0.82117,0,0.00151847,0.00151847,0.00151847
11,156.213,0.53715,0.68461,0.4762,0.88976,0,0.9873,0.9976,0.99425,0.86796,0.98274,0.99297,0.99386,0.86448,0.54351,0.73024,0.42882,0.8416,0,0.00150197,0.00150197,0.00150197
