epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2231,0.7023,1.46209,2.10148,1.00652,0,0.99715,0.60592,0.76972,0.69396,0.99715,0.60592,0.77445,0.69086,0.64002,1.18174,1.83806,0.88629,0,0.00045009,0.00045009,0.00045009
2,46.2933,0.64686,0.82184,0.91224,0.93184,0,0.94741,0.77982,0.79605,0.70875,0.94741,0.77982,0.79916,0.74358,0.64848,0.74681,1.36755,0.86257,0,0.000907773,0.000907773,0.000907773
3,62.6608,0.64409,0.80283,0.81605,0.92236,0,0.99375,0.77064,0.80198,0.69545,0.99375,0.77064,0.80198,0.74197,0.69435,0.83036,1.18264,0.90251,0,0.00135621,0.00135621,0.00135621
4,75.2316,0.64089,0.79244,0.77636,0.92287,0,0.7058,0.92661,0.81926,0.69975,0.7058,0.92661,0.81957,0.74613,0.69093,0.75974,1.14028,0.87636,0,0.00161749,0.00161749,0.00161749
5,87.8651,0.60602,0.7521,0.7029,0.90931,0,0.99382,0.79908,0.9043,0.79687,0.99382,0.79908,0.90394,0.81857,0.5914,0.77736,0.83407,0.8472,0,0.00160099,0.00160099,0.00160099
6,102.291,0.60639,0.74432,0.6635,0.91167,0,0.90912,0.87615,0.93998,0.83036,0.90357,0.87156,0.93655,0.84267,0.54264,0.71726,0.71996,0.83281,0,0.00158448,0.00158448,0.00158448
7,113.991,0.57906,0.72784,0.61042,0.90074,0,0.9617,0.9397,0.98084,0.86134,0.96656,0.94429,0.98301,0.86394,0.53509,0.76267,0.56766,0.81935,0,0.00156798,0.00156798,0.00156798
8,127.736,0.58072,0.72666,0.58404,0.89529,0,0.97635,0.97706,0.99322,0.85481,0.97635,0.97706,0.99322,0.85311,0.55367,0.74008,0.55478,0.83327,0,0.00155148,0.00155148,0.00155148
9,139.895,0.56804,0.72481,0.54701,0.90256,0,0.99001,0.88143,0.99012,0.84347,0.99001,0.88143,0.98955,0.85923,0.55927,0.77415,0.50661,0.82353,0,0.00153497,0.00153497,0.00153497
10,151.354,0.57994,0.69378,0.5402,0.90444,0,0.97443,0.98165,0.99032,0.87317,0.97443,0.98165,0.99032,0.88598,0.49752,0.62975,0.43278,0.81298,0,0.00151847,0.00151847,0.00151847
11,163.088,0.56552,0.70105,0.51079,0.89373,0,0.86291,0.89311,0.92088,0.81503,0.86291,0.89311,0.92088,0.83546,0.49642,0.63941,0.6541,0.80489,0,0.00150197,0.00150197,0.00150197
12,176.02,0.55126,0.6775,0.49612,0.89614,0,0.97958,0.91443,0.98695,0.84372,0.97508,0.90826,0.98361,0.8708,0.52584,0.67742,0.47612,0.82277,0,0.00148546,0.00148546,0.00148546
13,191.057,0.58027,0.73954,0.497,0.90767,0,0.99255,0.99316,0.99495,0.86987,0.99255,0.99316,0.99495,0.87609,0.49163,0.62491,0.46138,0.80612,0,0.00146896,0.00146896,0.00146896
14,201.965,0.53636,0.66128,0.4499,0.88978,0,0.97867,0.98022,0.99287,0.86156,0.97867,0.98022,0.99287,0.85982,0.55598,0.67112,0.36178,0.83417,0,0.00145246,0.00145246,0.00145246
15,213.293,0.58267,0.77095,0.46706,0.89507,0,0.98722,1,0.99431,0.89339,0.98722,1,0.99431,0.87868,0.47714,0.63069,0.36211,0.80466,0,0.00143595,0.00143595,0.00143595
16,225.061,0.55158,0.66828,0.43466,0.89036,0,0.98837,0.98991,0.99348,0.88399,0.98837,0.98991,0.99348,0.8688,0.49834,0.66384,0.35578,0.80169,0,0.00141945,0.00141945,0.00141945
17,236.81,0.52799,0.68663,0.42107,0.89584,0,0.99823,0.99946,0.995,0.88333,0.99823,0.99946,0.995,0.89663,0.47551,0.66385,0.3213,0.79701,0,0.00140295,0.00140295,0.00140295
18,249.859,0.51674,0.65892,0.41897,0.88322,0,0.94616,0.92793,0.97888,0.86592,0.94616,0.92793,0.97888,0.85938,0.51243,0.66469,0.43856,0.80392,0,0.00138644,0.00138644,0.00138644
19,262.98,0.53648,0.66488,0.41998,0.89053,0,0.99742,1,0.995,0.8964,0.99866,0.9954,0.995,0.89799,0.49022,0.64976,0.32825,0.80069,0,0.00136994,0.00136994,0.00136994
20,274.33,0.53764,0.6943,0.40668,0.88662,0,0.9925,1,0.99482,0.88833,0.9925,1,0.99482,0.88668,0.47711,0.63556,0.3338,0.80055,0,0.00135344,0.00135344,0.00135344
21,286.037,0.52366,0.67816,0.38861,0.88846,0,0.98831,0.99999,0.99446,0.89921,0.98831,0.99999,0.99446,0.89843,0.49406,0.67112,0.32545,0.80328,0,0.00133693,0.00133693,0.00133693
22,296.812,0.52482,0.67111,0.39245,0.89397,0,0.99179,0.99541,0.99486,0.89984,0.99179,0.99541,0.99486,0.87861,0.46017,0.6167,0.31435,0.7936,0,0.00132043,0.00132043,0.00132043
23,311.328,0.50544,0.63266,0.37063,0.88024,0,0.99346,0.99406,0.99495,0.90298,0.99346,0.99406,0.99495,0.90691,0.48935,0.62427,0.28614,0.80456,0,0.00130393,0.00130393,0.00130393
24,324.274,0.49502,0.61656,0.36462,0.87474,0,0.99261,0.99432,0.99381,0.90961,0.99261,0.99432,0.99381,0.89526,0.44371,0.62062,0.27941,0.78761,0,0.00128742,0.00128742,0.00128742
25,336.465,0.52403,0.68763,0.40011,0.88144,0,0.99687,1,0.995,0.89547,0.9923,0.99541,0.99459,0.89345,0.49237,0.61884,0.30321,0.79692,0,0.00127092,0.00127092,0.00127092
26,348.459,0.50079,0.6418,0.35956,0.87535,0,0.99099,0.98745,0.99468,0.91542,0.99099,0.98745,0.99468,0.91612,0.48268,0.62749,0.31574,0.79364,0,0.00125442,0.00125442,0.00125442
27,360.344,0.50263,0.63486,0.35704,0.87846,0,0.99501,0.99541,0.995,0.91065,0.99501,0.99541,0.995,0.90572,0.45975,0.59584,0.30078,0.79123,0,0.00123791,0.00123791,0.00123791
28,373.411,0.49634,0.64865,0.34706,0.87937,0,0.9959,0.96339,0.99477,0.89967,0.9959,0.96339,0.99477,0.89063,0.44962,0.63488,0.35611,0.78797,0,0.00122141,0.00122141,0.00122141
29,385.275,0.50561,0.62634,0.3505,0.87772,0,0.99193,0.99541,0.99399,0.89191,0.99193,0.99541,0.99399,0.8885,0.48004,0.65266,0.28117,0.8047,0,0.00120491,0.00120491,0.00120491
30,397.383,0.49647,0.6315,0.33641,0.8694,0,0.99217,0.99541,0.99431,0.90062,0.99217,0.99541,0.99431,0.89899,0.45133,0.61327,0.29889,0.79111,0,0.0011884,0.0011884,0.0011884
31,409.351,0.48699,0.63772,0.33591,0.87243,0,0.99223,1,0.99495,0.9044,0.99223,1,0.99495,0.9057,0.46306,0.61902,0.28255,0.80415,0,0.0011719,0.0011719,0.0011719
