epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3173,0.71589,1.79597,2.36479,1.08091,0,1,0.4732,0.78878,0.67839,1,0.47883,0.80343,0.7257,0.64415,1.23396,2.55881,1.07748,0,0.00045009,0.00045009,0.00045009
2,56.4046,0.63344,0.86662,1.25873,0.99665,0,0.88148,0.67808,0.70863,0.63425,0.88844,0.6764,0.71147,0.63828,0.77748,2.04596,2.23222,1.29407,0,0.000907773,0.000907773,0.000907773
3,75.0615,0.61885,0.84084,1.1117,0.99937,0,0.98486,0.7037,0.73924,0.61658,0.98486,0.7037,0.74074,0.64848,0.76874,2.17635,1.68205,1.18523,0,0.00135621,0.00135621,0.00135621
4,92.5564,0.62381,0.80563,0.99872,0.967,0,0.96984,0.82723,0.86386,0.72772,0.96511,0.81956,0.85685,0.75,0.70366,2.07591,0.96028,1.15513,0,0.00161749,0.00161749,0.00161749
5,109.273,0.58198,0.77165,0.84255,0.95543,0,0.75567,0.83509,0.89328,0.76259,0.7637,0.82782,0.90076,0.78757,0.61759,0.9074,1.02822,1.06604,0,0.00160099,0.00160099,0.00160099
6,125.939,0.56739,0.70906,0.74965,0.94239,0,0.96169,0.98683,0.9925,0.84465,0.96169,0.98683,0.9925,0.88771,0.59492,0.82024,0.69019,1.04567,0,0.00158448,0.00158448,0.00158448
7,142.774,0.57073,0.73368,0.69082,0.95029,0,0.9992,0.94754,0.98883,0.86328,0.9992,0.94754,0.98883,0.87796,0.56996,0.83411,0.63194,1.01371,0,0.00156798,0.00156798,0.00156798
8,159.489,0.57505,0.72945,0.64421,0.95347,0,0.9853,0.99537,0.99486,0.86097,0.9853,0.99537,0.99486,0.88831,0.56798,0.7646,0.57925,1.01812,0,0.00155148,0.00155148,0.00155148
9,175.959,0.54727,0.71756,0.58921,0.93688,0,0.99734,1,0.995,0.87691,0.99734,1,0.995,0.88095,0.55246,0.7729,0.42557,1.02749,0,0.00153497,0.00153497,0.00153497
10,192.553,0.53647,0.69562,0.53281,0.93223,0,0.97903,0.96296,0.9887,0.86975,0.97903,0.96296,0.9887,0.87048,0.52212,0.841,0.49576,0.99206,0,0.00151847,0.00151847,0.00151847
11,209.06,0.54605,0.72997,0.5236,0.93687,0,0.99033,0.97685,0.99158,0.83715,0.99033,0.97685,0.99158,0.8468,0.56576,0.82467,0.43727,1.01047,0,0.00150197,0.00150197,0.00150197
12,225.74,0.54989,0.73363,0.50934,0.94717,0,0.98797,0.96731,0.9911,0.85594,0.98797,0.96731,0.9911,0.86521,0.53269,0.83571,0.39266,0.98412,0,0.00148546,0.00148546,0.00148546
13,242.369,0.52735,0.69306,0.47848,0.94239,0,0.99824,0.96395,0.99115,0.86564,0.99824,0.96395,0.99115,0.88149,0.50787,0.77714,0.41716,0.98598,0,0.00146896,0.00146896,0.00146896
14,258.69,0.50741,0.69586,0.43628,0.92226,0,0.99726,0.98148,0.99459,0.86436,0.99726,0.98148,0.99459,0.87852,0.54605,0.78569,0.38338,1.00257,0,0.00145246,0.00145246,0.00145246
15,274.958,0.51917,0.72495,0.4373,0.92719,0,0.99215,0.99074,0.99467,0.86717,0.99215,0.99074,0.99467,0.89401,0.52317,0.72122,0.35593,0.98015,0,0.00143595,0.00143595,0.00143595
16,291.467,0.51599,0.70062,0.41218,0.92237,0,0.99096,0.98611,0.99235,0.88234,0.99096,0.98611,0.99282,0.88731,0.51151,0.81181,0.40277,0.97692,0,0.00141945,0.00141945,0.00141945
17,307.943,0.50986,0.68804,0.4182,0.91362,0,0.99799,0.99074,0.99495,0.88856,0.99722,1,0.995,0.8892,0.48531,0.72873,0.33302,0.9717,0,0.00140295,0.00140295,0.00140295
18,324.419,0.49167,0.6651,0.39107,0.92153,0,0.99795,1,0.995,0.88416,0.99328,0.99537,0.99495,0.89081,0.49111,0.70362,0.29425,0.96278,0,0.00138644,0.00138644,0.00138644
19,340.829,0.48341,0.64978,0.3794,0.91016,0,0.9974,0.9873,0.99478,0.88934,0.9974,0.9873,0.99478,0.88988,0.46928,0.71931,0.29586,0.96172,0,0.00136994,0.00136994,0.00136994
20,357.243,0.4998,0.70334,0.37609,0.9134,0,0.99781,0.99398,0.995,0.89488,0.99781,0.99398,0.995,0.89561,0.47019,0.69504,0.29685,0.96365,0,0.00135344,0.00135344,0.00135344
21,373.71,0.51176,0.71157,0.37839,0.91471,0,0.99253,0.98952,0.99351,0.88932,0.99253,0.98952,0.99351,0.89781,0.49085,0.7045,0.28784,0.9711,0,0.00133693,0.00133693,0.00133693
22,389.949,0.50658,0.68691,0.3687,0.92221,0,0.99274,0.99537,0.99481,0.88387,0.99274,0.99537,0.99481,0.88554,0.49719,0.75703,0.33401,0.97301,0,0.00132043,0.00132043,0.00132043
23,406.127,0.515,0.67126,0.36742,0.91468,0,0.97931,0.99424,0.99383,0.87336,0.97931,0.99424,0.99383,0.85956,0.51753,0.89581,0.32269,1.004,0,0.00130393,0.00130393,0.00130393
24,422.296,0.51802,0.68535,0.35956,0.91973,0,0.99665,0.96754,0.99358,0.86659,0.99665,0.96754,0.99379,0.87995,0.49868,0.74949,0.32491,0.9679,0,0.00128742,0.00128742,0.00128742
25,438.63,0.49689,0.67342,0.34891,0.90647,0,0.98708,0.99537,0.99472,0.89134,0.98708,0.99537,0.99472,0.89958,0.469,0.75056,0.28338,0.95833,0,0.00127092,0.00127092,0.00127092
26,454.937,0.48385,0.65942,0.34256,0.90089,0,0.99788,0.99537,0.995,0.89318,0.99788,0.99537,0.995,0.89761,0.46746,0.72366,0.29596,0.95643,0,0.00125442,0.00125442,0.00125442
27,471.048,0.46751,0.64405,0.33257,0.90307,0,0.99292,0.99074,0.99477,0.89199,0.99292,0.99074,0.99477,0.88589,0.49661,0.76361,0.29013,0.97384,0,0.00123791,0.00123791,0.00123791
28,487.281,0.48058,0.65598,0.33863,0.90931,0,0.9916,0.99537,0.99491,0.90067,0.99623,1,0.995,0.90073,0.48319,0.70691,0.31231,0.95819,0,0.00122141,0.00122141,0.00122141
29,503.609,0.49195,0.65292,0.33077,0.90481,0,0.99208,0.99811,0.99486,0.87959,0.99208,0.99811,0.99486,0.88339,0.48061,0.74661,0.27615,0.97769,0,0.00120491,0.00120491,0.00120491
30,519.89,0.48148,0.64681,0.32244,0.903,0,0.99253,0.99537,0.99491,0.89375,0.99253,0.99537,0.99491,0.89965,0.49273,0.73101,0.29183,0.97151,0,0.0011884,0.0011884,0.0011884
31,535.898,0.46574,0.61162,0.31862,0.90363,0,0.98547,0.98611,0.99424,0.89567,0.98547,0.98611,0.99424,0.89749,0.46357,0.73893,0.27228,0.96207,0,0.0011719,0.0011719,0.0011719
32,552.333,0.49259,0.70346,0.33873,0.9223,0,0.9925,0.9894,0.99472,0.89284,0.9925,0.9894,0.99472,0.88983,0.47551,0.767,0.28734,0.95418,0,0.0011554,0.0011554,0.0011554
33,568.913,0.47666,0.66129,0.31809,0.90834,0,0.99371,0.9937,0.99458,0.8909,0.99371,0.9937,0.99458,0.89434,0.5183,0.76604,0.26788,0.98473,0,0.00113889,0.00113889,0.00113889
34,585.079,0.48039,0.65197,0.31478,0.90305,0,0.99707,0.99537,0.995,0.89189,0.99707,0.99537,0.995,0.89528,0.48593,0.74866,0.27747,0.96569,0,0.00112239,0.00112239,0.00112239
35,601.293,0.46075,0.64036,0.30319,0.90064,0,0.9745,0.9528,0.98652,0.89179,0.9745,0.9528,0.98532,0.89135,0.45741,0.71096,0.31837,0.94718,0,0.00110589,0.00110589,0.00110589
36,617.367,0.48175,0.65713,0.31004,0.91039,0,0.99299,1,0.995,0.89926,0.99299,1,0.995,0.90669,0.47287,0.7136,0.24724,0.9653,0,0.00108938,0.00108938,0.00108938
37,633.566,0.46329,0.62544,0.29604,0.9042,0,0.98593,0.99074,0.99427,0.90113,0.98593,0.99074,0.99427,0.9033,0.47583,0.71841,0.28358,0.96041,0,0.00107288,0.00107288,0.00107288
38,649.618,0.44655,0.61522,0.28964,0.89098,0,0.9963,1,0.995,0.90653,0.9963,1,0.995,0.90437,0.47124,0.70314,0.25323,0.956,0,0.00105638,0.00105638,0.00105638
