epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5195,0.71169,1.83094,2.41833,1.08467,0,1,0.32749,0.71728,0.63636,1,0.32749,0.71912,0.6596,0.67042,1.63938,2.5525,1.16482,0,0.00045009,0.00045009,0.00045009
2,62.8866,0.6235,0.81987,1.26884,0.99519,0,0.94859,0.67864,0.78191,0.67524,0.94859,0.67864,0.78292,0.73179,0.70857,1.13143,2.01867,1.12585,0,0.000907773,0.000907773,0.000907773
3,82.0211,0.61006,0.79239,1.07074,0.97189,0,0.90977,0.80093,0.8532,0.70567,0.91246,0.79356,0.84795,0.73345,0.72534,1.19129,1.27712,1.13695,0,0.00135621,0.00135621,0.00135621
4,99.8326,0.63961,0.83146,0.99212,0.95675,0,0.88938,0.78277,0.81702,0.69749,0.90317,0.7918,0.83444,0.75405,0.77013,1.19672,1.44392,1.20388,0,0.00161749,0.00161749,0.00161749
5,116.977,0.63084,0.82211,0.88325,0.96354,0,0.98603,0.90473,0.93957,0.79093,0.99162,0.90936,0.9433,0.83322,0.65703,0.96657,0.95551,1.08715,0,0.00160099,0.00160099,0.00160099
6,134.176,0.57715,0.77359,0.77354,0.93515,0,0.98045,0.95404,0.98229,0.86942,0.98534,0.95867,0.98095,0.88336,0.51617,0.75249,0.66332,1.00932,0,0.00158448,0.00158448,0.00158448
7,151.262,0.58003,0.76995,0.71077,0.9511,0,0.90022,0.97685,0.97438,0.85269,0.90022,0.97685,0.97456,0.85862,0.53086,0.79406,0.6465,0.99401,0,0.00156798,0.00156798,0.00156798
8,168.035,0.57324,0.76043,0.6525,0.93921,0,0.90155,0.92312,0.92672,0.7578,0.90028,0.92382,0.92597,0.79488,0.57592,0.81629,0.82351,1.01302,0,0.00155148,0.00155148,0.00155148
9,184.803,0.57488,0.73955,0.60685,0.94438,0,0.94371,0.93056,0.96458,0.80661,0.9389,0.92593,0.95695,0.8301,0.6068,0.92968,0.57533,1.0462,0,0.00153497,0.00153497,0.00153497
10,201.517,0.5388,0.7184,0.55515,0.92648,0,0.96889,0.96597,0.98112,0.8287,0.96889,0.96597,0.98285,0.86394,0.58845,0.76074,0.50837,1.03134,0,0.00151847,0.00151847,0.00151847
