epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5879,0.7104,1.81587,2.33213,1.0663,0,1,0.49765,0.78795,0.67324,1,0.49765,0.78795,0.73349,0.66674,1.02692,2.42687,1.08201,0,0.00045009,0.00045009,0.00045009
2,60.1303,0.6193,0.86589,1.22683,0.97658,0,0.84998,0.76916,0.77898,0.65422,0.84998,0.76916,0.78479,0.7262,0.79075,1.15677,2.04525,1.16679,0,0.000907773,0.000907773,0.000907773
3,79.7137,0.62318,0.79985,1.11733,0.98139,0,0.68571,0.63049,0.65171,0.50555,0.65255,0.60734,0.62721,0.51503,1.01604,2.64661,1.93352,1.38162,0,0.00135621,0.00135621,0.00135621
4,96.2025,0.63334,0.85009,0.99203,0.9665,0,0.88111,0.79293,0.8351,0.67664,0.88111,0.79293,0.83288,0.71215,0.80656,1.14459,1.25796,1.19127,0,0.00161749,0.00161749,0.00161749
5,112.674,0.59888,0.79484,0.86064,0.95586,0,0.9483,0.87021,0.93573,0.75397,0.93091,0.85307,0.88291,0.73513,0.68567,2.07971,1.03053,1.11467,0,0.00160099,0.00160099,0.00160099
6,129.4,0.57939,0.78553,0.77369,0.94064,0,0.97506,0.98047,0.98971,0.85085,0.97506,0.98047,0.98971,0.87096,0.55633,0.80704,0.71752,1.02346,0,0.00158448,0.00158448,0.00158448
7,146.085,0.57507,0.75116,0.68562,0.94233,0,0.99056,0.93143,0.99425,0.8407,0.99056,0.93143,0.99425,0.86118,0.53979,0.86019,0.77313,1.00147,0,0.00156798,0.00156798,0.00156798
8,162.636,0.56547,0.76332,0.64436,0.93994,0,0.94555,0.98611,0.98677,0.8466,0.94555,0.98611,0.98677,0.88057,0.57583,0.73019,0.58925,1.00598,0,0.00155148,0.00155148,0.00155148
9,179.546,0.5723,0.76842,0.59558,0.94187,0,0.97875,0.99537,0.99403,0.85958,0.97875,0.99537,0.99403,0.88758,0.55709,0.73763,0.48126,1.00473,0,0.00153497,0.00153497,0.00153497
10,196.258,0.5545,0.73595,0.56002,0.92889,0,0.98766,0.98534,0.99197,0.87028,0.986,0.98611,0.99283,0.88706,0.50972,0.71543,0.47152,0.96529,0,0.00151847,0.00151847,0.00151847
11,212.832,0.55376,0.72961,0.52421,0.9316,0,0.99627,0.99983,0.995,0.86287,0.99163,0.99525,0.99435,0.87864,0.5283,0.75287,0.42099,0.99172,0,0.00150197,0.00150197,0.00150197
12,229.409,0.54614,0.74692,0.49591,0.93455,0,0.95993,0.94116,0.99257,0.87249,0.95993,0.94116,0.99257,0.88616,0.50423,0.73593,0.45558,0.97445,0,0.00148546,0.00148546,0.00148546
13,245.891,0.53357,0.7217,0.47845,0.92793,0,0.98818,0.99778,0.99482,0.84649,0.98818,0.99778,0.99482,0.8686,0.52235,0.72827,0.36844,0.98661,0,0.00146896,0.00146896,0.00146896
