epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5061,0.73515,1.83154,2.35115,1.09061,0,1,0.57026,0.79047,0.69483,1,0.57026,0.79937,0.72413,0.65305,1.15211,2.55396,1.10355,0,0.00045009,0.00045009,0.00045009
2,57.9585,0.61072,0.84085,1.21875,0.97704,0,0.63519,0.75463,0.65489,0.59806,0.63519,0.75463,0.65445,0.61204,0.7465,1.08036,2.11479,1.16014,0,0.000907773,0.000907773,0.000907773
3,78.1246,0.62453,0.80385,1.10773,0.98698,0,0.66714,0.85321,0.67136,0.5619,0.67145,0.86247,0.67591,0.59906,0.77736,0.92293,1.8025,1.19251,0,0.00135621,0.00135621,0.00135621
4,95.5553,0.63311,0.8004,0.98303,0.97798,0,0.97831,0.84259,0.97165,0.81993,0.97831,0.84259,0.96713,0.83899,0.5663,0.99263,1.00689,1.01799,0,0.00161749,0.00161749,0.00161749
5,112.657,0.59081,0.76644,0.86307,0.95217,0,0.91984,0.79834,0.95041,0.78397,0.91984,0.79834,0.95021,0.82045,0.62006,1.01181,0.96924,1.04719,0,0.00160099,0.00160099,0.00160099
6,129.629,0.55752,0.73889,0.74768,0.92943,0,0.985,0.94444,0.97882,0.83885,0.99009,0.94907,0.97323,0.83754,0.58547,0.92629,0.66732,1.04713,0,0.00158448,0.00158448,0.00158448
7,146.685,0.57084,0.75377,0.69541,0.94037,0,0.98372,0.98148,0.98899,0.86686,0.98372,0.98148,0.98733,0.86305,0.53371,0.7892,0.67892,0.99451,0,0.00156798,0.00156798,0.00156798
8,163.865,0.55752,0.76292,0.63135,0.9324,0,0.99262,0.96035,0.99017,0.86089,0.99262,0.96035,0.99017,0.8748,0.54477,0.78527,0.66916,1.00767,0,0.00155148,0.00155148,0.00155148
9,181.03,0.5632,0.73878,0.58031,0.94689,0,0.97301,0.96665,0.97894,0.85042,0.96925,0.96296,0.97956,0.86872,0.50727,0.78055,0.51078,0.97192,0,0.00153497,0.00153497,0.00153497
10,198.102,0.53363,0.71419,0.53632,0.92489,0,0.98676,0.97685,0.99323,0.87345,0.98895,0.97614,0.99314,0.89195,0.49965,0.74423,0.41088,0.97449,0,0.00151847,0.00151847,0.00151847
11,214.819,0.53068,0.71747,0.49886,0.92414,0,0.98259,0.98548,0.99299,0.88507,0.98259,0.98548,0.99299,0.8846,0.47499,0.70181,0.3947,0.95747,0,0.00150197,0.00150197,0.00150197
12,232.018,0.53629,0.71367,0.49541,0.93018,0,0.95868,0.97222,0.98553,0.87222,0.95868,0.97222,0.98553,0.88105,0.48082,0.71969,0.39334,0.96229,0,0.00148546,0.00148546,0.00148546
13,248.686,0.53664,0.69695,0.47858,0.93664,0,0.97929,0.93519,0.98047,0.86955,0.97929,0.93519,0.97975,0.87544,0.50673,0.72518,0.4088,0.97947,0,0.00146896,0.00146896,0.00146896
14,265.671,0.53209,0.69608,0.44959,0.92462,0,0.98803,0.9858,0.99115,0.85396,0.98803,0.9858,0.99115,0.87611,0.49384,0.69851,0.36267,0.96193,0,0.00145246,0.00145246,0.00145246
15,282.367,0.50915,0.68859,0.41629,0.91523,0,0.97466,0.97589,0.99179,0.8845,0.97002,0.97126,0.98947,0.8933,0.45103,0.69458,0.3393,0.94446,0,0.00143595,0.00143595,0.00143595
16,299.137,0.51181,0.69157,0.40294,0.91696,0,0.99754,0.99074,0.99486,0.85875,0.99754,0.99074,0.99486,0.86065,0.49581,0.71208,0.32835,0.95891,0,0.00141945,0.00141945,0.00141945
17,315.688,0.52844,0.6985,0.4003,0.91924,0,0.98881,0.99537,0.99486,0.89094,0.98881,0.99537,0.99486,0.89781,0.44742,0.64183,0.29972,0.9427,0,0.00140295,0.00140295,0.00140295
18,332.337,0.49446,0.67048,0.37196,0.91285,0,0.98696,0.99537,0.99416,0.89772,0.98696,0.99537,0.99416,0.89819,0.47301,0.66549,0.30835,0.95687,0,0.00138644,0.00138644,0.00138644
19,349.03,0.51214,0.65453,0.38715,0.91528,0,0.99268,1,0.995,0.86785,0.99268,1,0.995,0.88849,0.50218,0.69715,0.31883,0.96721,0,0.00136994,0.00136994,0.00136994
20,365.665,0.51279,0.68741,0.3765,0.90837,0,0.9922,1,0.99491,0.89911,0.9922,1,0.99491,0.89326,0.4619,0.67284,0.28723,0.94083,0,0.00135344,0.00135344,0.00135344
21,382.466,0.5031,0.69474,0.3669,0.90818,0,0.9907,0.97685,0.99307,0.86592,0.9907,0.97685,0.99307,0.87581,0.48721,0.69145,0.33551,0.97101,0,0.00133693,0.00133693,0.00133693
22,399.136,0.50942,0.69938,0.37537,0.92306,0,0.99008,0.99074,0.99365,0.88733,0.98543,0.98611,0.99221,0.89471,0.45782,0.67646,0.3094,0.95097,0,0.00132043,0.00132043,0.00132043
23,415.638,0.49065,0.65893,0.35623,0.90851,0,0.9882,1,0.99491,0.88751,0.9882,1,0.99491,0.89155,0.48063,0.69157,0.3108,0.9715,0,0.00130393,0.00130393,0.00130393
24,431.969,0.48516,0.66212,0.34291,0.90893,0,0.99666,0.99074,0.99495,0.89269,0.99666,0.99074,0.99495,0.89557,0.45357,0.67089,0.27169,0.94209,0,0.00128742,0.00128742,0.00128742
25,448.282,0.5062,0.67415,0.34316,0.90676,0,0.9918,0.99475,0.99426,0.88238,0.9918,0.99475,0.99426,0.90042,0.47422,0.64342,0.29464,0.96508,0,0.00127092,0.00127092,0.00127092
26,465.811,0.54641,0.72552,0.36188,0.91919,0,0.9745,0.96544,0.99198,0.88488,0.9745,0.96544,0.99198,0.89102,0.47703,0.69589,0.33187,0.9535,0,0.00125442,0.00125442,0.00125442
27,482.189,0.50168,0.66826,0.34223,0.91994,0,0.99263,0.98985,0.99449,0.88875,0.99263,0.98985,0.99449,0.89559,0.48052,0.6821,0.27586,0.9557,0,0.00123791,0.00123791,0.00123791
28,498.854,0.48539,0.67621,0.32971,0.91878,0,0.99683,1,0.995,0.90445,0.9922,0.99537,0.99398,0.90603,0.43304,0.66799,0.23345,0.93263,0,0.00122141,0.00122141,0.00122141
29,515.583,0.46619,0.63029,0.3154,0.89235,0,0.99157,0.99537,0.99486,0.91033,0.99157,0.99537,0.99486,0.90853,0.43144,0.67184,0.26721,0.93621,0,0.00120491,0.00120491,0.00120491
30,532.142,0.46435,0.64333,0.31525,0.89549,0,0.99724,0.99537,0.995,0.90071,0.99724,0.99537,0.995,0.90361,0.45385,0.64554,0.25854,0.95154,0,0.0011884,0.0011884,0.0011884
31,548.374,0.4831,0.64403,0.31707,0.89915,0,0.97742,0.97549,0.99094,0.88071,0.97742,0.97549,0.99094,0.89391,0.51517,0.69011,0.33056,0.96711,0,0.0011719,0.0011719,0.0011719
32,564.813,0.50165,0.66087,0.33928,0.91228,0,0.9931,0.98549,0.99441,0.88671,0.9931,0.98549,0.99441,0.88596,0.4788,0.72151,0.28068,0.97069,0,0.0011554,0.0011554,0.0011554
33,581.266,0.48373,0.64236,0.31302,0.90752,0,0.99756,1,0.995,0.90275,0.99756,1,0.995,0.89866,0.45013,0.65843,0.27276,0.93791,0,0.00113889,0.00113889,0.00113889
34,597.763,0.47832,0.65715,0.30812,0.89461,0,0.99296,0.99952,0.99495,0.90012,0.99296,0.99952,0.99495,0.89689,0.45215,0.67312,0.26252,0.94059,0,0.00112239,0.00112239,0.00112239
35,614.318,0.48739,0.66523,0.30956,0.90793,0,0.99237,1,0.99445,0.90842,0.99237,1,0.99491,0.91598,0.46001,0.66863,0.24287,0.94332,0,0.00110589,0.00110589,0.00110589
36,630.86,0.48253,0.65196,0.31692,0.90203,0,0.97574,0.99815,0.99104,0.89168,0.97048,1,0.99011,0.88518,0.4461,0.71719,0.2925,0.94527,0,0.00108938,0.00108938,0.00108938
37,647.44,0.46232,0.6264,0.2991,0.89704,0,0.99262,0.99074,0.99472,0.90872,0.99262,0.99074,0.99472,0.90663,0.4433,0.65902,0.23685,0.95004,0,0.00107288,0.00107288,0.00107288
38,663.818,0.45819,0.63198,0.29342,0.88997,0,0.99846,0.99372,0.995,0.9035,0.99846,0.99372,0.995,0.90677,0.43398,0.62956,0.26112,0.93196,0,0.00105638,0.00105638,0.00105638
39,680.386,0.45895,0.60901,0.29297,0.90808,0,0.9933,0.98978,0.99425,0.9094,0.98861,0.9852,0.99257,0.90529,0.43968,0.66664,0.26109,0.9371,0,0.00103987,0.00103987,0.00103987
40,696.635,0.46509,0.64086,0.29592,0.9072,0,0.98882,0.99388,0.9943,0.90971,0.98882,0.99388,0.9943,0.91108,0.42989,0.64744,0.23927,0.93779,0,0.00102337,0.00102337,0.00102337
41,712.992,0.4503,0.6219,0.28326,0.89478,0,0.99388,0.98378,0.99426,0.90781,0.9744,0.99477,0.99239,0.90941,0.44154,0.67433,0.23209,0.94424,0,0.00100687,0.00100687,0.00100687
42,729.277,0.45828,0.6261,0.28678,0.89059,0,0.98406,0.99537,0.99435,0.90099,0.98406,0.99537,0.99417,0.89987,0.46931,0.67409,0.26281,0.96389,0,0.000990365,0.000990365,0.000990365
43,745.551,0.45746,0.64741,0.28903,0.89512,0,0.98924,0.99537,0.99425,0.90776,0.98924,0.99537,0.99425,0.91591,0.45484,0.65177,0.25414,0.95239,0,0.000973861,0.000973861,0.000973861
44,761.927,0.45978,0.62766,0.28465,0.89948,0,0.99191,0.99537,0.99477,0.90541,0.9884,0.99074,0.99459,0.91529,0.4446,0.65752,0.2501,0.9397,0,0.000957358,0.000957358,0.000957358
45,778.418,0.46749,0.61554,0.29041,0.89301,0,0.99273,1,0.99463,0.91902,0.99273,1,0.99463,0.9142,0.40007,0.65238,0.23413,0.92291,0,0.000940855,0.000940855,0.000940855
46,795.096,0.45417,0.63846,0.28578,0.89097,0,0.99777,0.99475,0.995,0.90387,0.99777,0.99475,0.995,0.90416,0.44668,0.66283,0.2368,0.9458,0,0.000924352,0.000924352,0.000924352
47,811.566,0.45589,0.63648,0.28371,0.8999,0,0.99254,0.99537,0.99463,0.90816,0.99254,0.99537,0.99463,0.90729,0.41058,0.6515,0.22724,0.93549,0,0.000907848,0.000907848,0.000907848
48,827.822,0.43701,0.60566,0.27289,0.88895,0,0.99779,1,0.995,0.9138,0.99779,1,0.995,0.90842,0.43271,0.66175,0.22375,0.92404,0,0.000891345,0.000891345,0.000891345
49,844.084,0.44905,0.61761,0.27525,0.88588,0,0.99822,0.99969,0.995,0.9146,0.99272,1,0.99491,0.91637,0.42962,0.64695,0.24285,0.92804,0,0.000874842,0.000874842,0.000874842
50,860.332,0.44026,0.59533,0.27457,0.88407,0,0.99004,0.99074,0.99444,0.9062,0.99004,0.99074,0.99444,0.90935,0.44065,0.64965,0.22347,0.9375,0,0.000858338,0.000858338,0.000858338
