epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1862,0.7164,1.43084,2.09341,1.00429,0,1,0.49673,0.78112,0.6978,1,0.49673,0.78121,0.72756,0.65948,1.2482,2.06834,0.91615,0,0.00045009,0.00045009,0.00045009
2,47.6291,0.66314,0.83796,0.93692,0.94209,0,0.99285,0.69359,0.7887,0.72008,0.99285,0.69359,0.79004,0.71591,0.66726,0.97148,1.89285,0.88712,0,0.000907773,0.000907773,0.000907773
3,65.2312,0.63846,0.78792,0.83626,0.92331,0,0.71658,0.71231,0.78822,0.67966,0.73312,0.71364,0.79172,0.69859,0.73687,0.93093,1.43829,0.91986,0,0.00135621,0.00135621,0.00135621
4,78.9356,0.61859,0.76017,0.76934,0.91422,0,0.89637,0.77901,0.897,0.76336,0.89637,0.77901,0.89539,0.79947,0.66351,0.89705,0.90497,0.87585,0,0.00161749,0.00161749,0.00161749
5,90.1676,0.61521,0.73228,0.70768,0.92058,0,0.74648,0.93859,0.91501,0.77578,0.73602,0.9577,0.91731,0.80953,0.64227,0.7979,1.07623,0.88586,0,0.00160099,0.00160099,0.00160099
6,101.61,0.59452,0.74183,0.6588,0.90689,0,0.98358,0.96364,0.98851,0.83723,0.98672,0.96343,0.98826,0.86805,0.60245,0.75332,0.59098,0.85469,0,0.00158448,0.00158448,0.00158448
7,113.663,0.56737,0.72034,0.59684,0.90348,0,0.96774,0.97727,0.99055,0.86332,0.96774,0.97727,0.99055,0.86413,0.53486,0.77211,0.5038,0.83908,0,0.00156798,0.00156798,0.00156798
8,125.947,0.58723,0.75192,0.59147,0.90178,0,0.97818,0.99091,0.99405,0.83742,0.97818,0.99091,0.99405,0.86192,0.59881,0.78018,0.48447,0.83985,0,0.00155148,0.00155148,0.00155148
9,139.72,0.58121,0.74259,0.55736,0.91491,0,0.98901,0.97077,0.99198,0.86739,0.9839,0.98012,0.99357,0.87263,0.56927,0.73975,0.48476,0.84574,0,0.00153497,0.00153497,0.00153497
10,154.88,0.573,0.72995,0.53649,0.90586,0,0.97246,0.97727,0.99254,0.85067,0.97246,0.97727,0.99254,0.85473,0.5756,0.73193,0.44899,0.84113,0,0.00151847,0.00151847,0.00151847
