epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6153,0.70604,1.4961,2.07368,1.00268,0,0.99644,0.70415,0.78025,0.68743,0.99644,0.70415,0.78035,0.71809,0.7141,0.90833,1.76587,0.90693,0,0.00045009,0.00045009,0.00045009
2,47.7551,0.65491,0.83958,0.9096,0.94069,0,0.99588,0.7143,0.7552,0.68744,0.99588,0.7143,0.75687,0.68638,0.63235,0.93164,1.72147,0.89622,0,0.000907773,0.000907773,0.000907773
3,64.555,0.63022,0.78622,0.82755,0.92797,0,0.98109,0.76389,0.83021,0.71402,0.98109,0.76389,0.83243,0.74894,0.69569,0.80098,1.14444,0.87385,0,0.00135621,0.00135621,0.00135621
4,77.6219,0.65205,0.82996,0.78232,0.92352,0,0.90995,0.88889,0.92982,0.75185,0.90815,0.89775,0.92802,0.76745,0.65521,1.03459,0.80421,0.89559,0,0.00161749,0.00161749,0.00161749
5,89.1249,0.60665,0.77489,0.69926,0.91215,0,0.99558,0.79167,0.91456,0.75011,0.99558,0.79167,0.91236,0.79513,0.65642,0.91609,0.80623,0.88789,0,0.00160099,0.00160099,0.00160099
6,103.255,0.58789,0.71386,0.65146,0.89831,0,0.95255,0.95805,0.98158,0.84251,0.95255,0.95805,0.98158,0.83459,0.54563,0.95459,0.55678,0.83419,0,0.00158448,0.00158448,0.00158448
7,114.779,0.59068,0.70799,0.60418,0.90266,0,0.99575,0.97222,0.99346,0.83976,0.99575,0.97222,0.99283,0.84013,0.5638,0.82443,0.566,0.84879,0,0.00156798,0.00156798,0.00156798
8,126.007,0.58293,0.73689,0.58411,0.91142,0,0.97805,0.98264,0.99261,0.85194,0.97805,0.98264,0.99261,0.86579,0.53437,0.68822,0.5064,0.82956,0,0.00155148,0.00155148,0.00155148
9,137.614,0.57831,0.70217,0.55152,0.90765,0,0.99641,0.99473,0.995,0.85705,0.99641,0.99473,0.995,0.85907,0.54105,0.73667,0.47456,0.8398,0,0.00153497,0.00153497,0.00153497
10,150.837,0.56275,0.72114,0.52017,0.89491,0,0.99031,0.98148,0.99463,0.86843,0.99031,0.98148,0.99463,0.88278,0.55456,0.68834,0.44645,0.84439,0,0.00151847,0.00151847,0.00151847
11,163.262,0.53908,0.69827,0.48739,0.89462,0,0.99742,0.99427,0.995,0.85223,0.99273,0.98967,0.99379,0.85794,0.53001,0.72607,0.40758,0.83766,0,0.00150197,0.00150197,0.00150197
12,174.796,0.5674,0.70116,0.48185,0.90689,0,0.98337,0.98604,0.99289,0.8812,0.98337,0.98604,0.99289,0.86828,0.48859,0.67192,0.38004,0.83356,0,0.00148546,0.00148546,0.00148546
13,186.689,0.53826,0.6867,0.46155,0.90441,0,0.99153,0.99537,0.99481,0.86614,0.99153,0.99537,0.99481,0.86079,0.48965,0.72008,0.36415,0.83622,0,0.00146896,0.00146896,0.00146896
14,197.912,0.5376,0.66867,0.43329,0.89632,0,0.99611,0.99537,0.995,0.86911,0.9914,0.99074,0.99388,0.87197,0.54068,0.72222,0.40465,0.84257,0,0.00145246,0.00145246,0.00145246
15,209.074,0.54804,0.69026,0.43293,0.8889,0,0.93545,0.96759,0.97137,0.86755,0.93545,0.96759,0.97137,0.85687,0.46304,0.65901,0.44972,0.81515,0,0.00143595,0.00143595,0.00143595
