epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5174,0.67439,1.3654,2.0776,0.98764,0,0.99585,0.54732,0.75862,0.68265,0.99585,0.54732,0.75916,0.69686,0.61257,1.00491,1.79295,0.8673,0,0.00045009,0.00045009,0.00045009
2,48.0449,0.66322,0.81386,0.90521,0.9291,0,0.77836,0.73853,0.70147,0.64281,0.77836,0.73853,0.70182,0.6457,0.65753,1.08987,1.6564,0.8859,0,0.000907773,0.000907773,0.000907773
3,64.1992,0.63577,0.81456,0.82844,0.9259,0,0.85786,0.75233,0.76812,0.67774,0.8652,0.75127,0.77037,0.70317,0.62451,1.29006,1.3098,0.85047,0,0.00135621,0.00135621,0.00135621
4,76.0835,0.62809,0.78378,0.76472,0.924,0,0.62842,0.69912,0.7066,0.58984,0.62558,0.69453,0.68846,0.58405,0.81331,2.85406,1.8906,0.95658,0,0.00161749,0.00161749,0.00161749
5,89.1529,0.6177,0.7905,0.73879,0.91765,0,0.96437,0.83945,0.9319,0.7876,0.97109,0.84404,0.93675,0.81379,0.62032,0.80759,0.77028,0.85318,0,0.00160099,0.00160099,0.00160099
6,101.36,0.58975,0.75932,0.64741,0.90441,0,0.97211,0.96155,0.98607,0.84966,0.97211,0.96155,0.98614,0.86142,0.57038,0.76047,0.61218,0.83853,0,0.00158448,0.00158448,0.00158448
7,116.735,0.57651,0.71354,0.60055,0.90742,0,0.97126,0.97706,0.9921,0.86023,0.97126,0.97706,0.9921,0.85186,0.55386,0.74886,0.54177,0.8288,0,0.00156798,0.00156798,0.00156798
8,127.104,0.57588,0.71385,0.57745,0.89272,0,0.91213,0.9251,0.95767,0.84577,0.92108,0.93427,0.96251,0.83305,0.51312,0.77793,0.50616,0.80981,0,0.00155148,0.00155148,0.00155148
9,138.395,0.55599,0.70113,0.53962,0.89743,0,0.98724,0.96814,0.9931,0.85345,0.98724,0.96814,0.9931,0.86845,0.54964,0.74533,0.45512,0.82885,0,0.00153497,0.00153497,0.00153497
10,150.119,0.56364,0.71928,0.54207,0.90591,0,0.98278,0.97514,0.99267,0.87799,0.98278,0.97514,0.99267,0.86411,0.49351,0.76504,0.40722,0.80075,0,0.00151847,0.00151847,0.00151847
11,161.044,0.5518,0.69633,0.49348,0.89046,0,0.98716,0.98398,0.99384,0.87382,0.98716,0.98398,0.99279,0.86535,0.49876,0.67361,0.40533,0.80105,0,0.00150197,0.00150197,0.00150197
12,172.957,0.52769,0.67505,0.45816,0.89347,0,0.98597,0.96354,0.99335,0.87097,0.98597,0.96354,0.99335,0.87332,0.4891,0.6788,0.47161,0.79871,0,0.00148546,0.00148546,0.00148546
13,184.181,0.53845,0.68902,0.46888,0.89272,0,0.98328,0.98505,0.9924,0.88217,0.98788,0.98964,0.99313,0.86936,0.49364,0.69782,0.38091,0.8108,0,0.00146896,0.00146896,0.00146896
14,195.097,0.51853,0.65293,0.42491,0.88294,0,0.97489,0.9823,0.99245,0.8648,0.97652,0.97706,0.99165,0.87021,0.5173,0.7076,0.37895,0.81479,0,0.00145246,0.00145246,0.00145246
15,206.949,0.55746,0.73266,0.45573,0.89658,0,0.98862,0.95413,0.99055,0.85054,0.98862,0.95413,0.99055,0.85243,0.51945,0.68871,0.42855,0.81589,0,0.00143595,0.00143595,0.00143595
16,217.614,0.52362,0.66516,0.41899,0.88759,0,0.96112,0.93578,0.98097,0.85964,0.96112,0.93578,0.97882,0.85778,0.48819,0.7146,0.40728,0.81072,0,0.00141945,0.00141945,0.00141945
17,228.381,0.50855,0.64971,0.40047,0.88143,0,0.97074,0.99475,0.99311,0.87552,0.97074,0.99475,0.99311,0.86305,0.51996,0.72358,0.34499,0.81909,0,0.00140295,0.00140295,0.00140295
18,238.58,0.52113,0.63873,0.40658,0.88633,0,0.87065,0.95199,0.95005,0.85498,0.87065,0.95199,0.95005,0.84549,0.49577,0.68667,0.56835,0.80908,0,0.00138644,0.00138644,0.00138644
19,251.017,0.54187,0.65646,0.40754,0.89429,0,0.99846,0.99444,0.995,0.86724,0.99706,1,0.995,0.85329,0.53949,0.7061,0.34707,0.83551,0,0.00136994,0.00136994,0.00136994
20,262.133,0.54026,0.68028,0.39676,0.89002,0,0.98608,0.98165,0.99414,0.8908,0.98608,0.98165,0.99414,0.88014,0.48107,0.6575,0.34836,0.80877,0,0.00135344,0.00135344,0.00135344
21,274.713,0.50762,0.62937,0.37892,0.88356,0,0.97173,0.99372,0.99349,0.88386,0.97173,0.99372,0.99349,0.86879,0.50493,0.66679,0.34906,0.81438,0,0.00133693,0.00133693,0.00133693
22,285.167,0.51982,0.67552,0.38413,0.89042,0,0.98454,0.98624,0.99437,0.87965,0.98454,0.98624,0.99437,0.86928,0.4979,0.64524,0.34867,0.80945,0,0.00132043,0.00132043,0.00132043
23,298.737,0.50616,0.62934,0.3629,0.87682,0,0.99333,0.98957,0.99472,0.87536,0.99333,0.98957,0.99472,0.85706,0.51572,0.75458,0.33829,0.839,0,0.00130393,0.00130393,0.00130393
24,309.677,0.49023,0.64099,0.35741,0.88487,0,0.98922,0.97706,0.99008,0.87229,0.99274,0.99058,0.99106,0.87876,0.50773,0.70739,0.34268,0.82062,0,0.00128742,0.00128742,0.00128742
25,321.095,0.51204,0.6622,0.40797,0.87837,0,0.99736,0.99541,0.995,0.88312,0.99736,0.99541,0.995,0.85449,0.51089,0.69201,0.31268,0.82593,0,0.00127092,0.00127092,0.00127092
