epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9896,0.69576,1.51894,2.06697,0.99239,0,0.99719,0.51043,0.78308,0.688,0.99719,0.51043,0.7832,0.68177,0.69679,1.35152,1.98743,0.92347,0,0.00045009,0.00045009,0.00045009
2,46.4113,0.63314,0.78693,0.91851,0.91653,0,0.97741,0.71296,0.76878,0.68819,0.97741,0.71296,0.77003,0.69724,0.68145,1.10049,1.6808,0.89683,0,0.000907773,0.000907773,0.000907773
3,62.8615,0.634,0.7625,0.81301,0.93164,0,0.94685,0.71296,0.76164,0.6497,0.94685,0.71296,0.76235,0.63871,0.73173,1.77518,1.43,0.91248,0,0.00135621,0.00135621,0.00135621
4,75.2402,0.63791,0.80647,0.78337,0.91162,0,0.85958,0.87789,0.92898,0.79418,0.86138,0.88759,0.93258,0.80782,0.55981,0.92929,0.70971,0.83146,0,0.00161749,0.00161749,0.00161749
5,89.624,0.62545,0.77409,0.71353,0.91081,0,0.97659,0.96,0.98698,0.83692,0.97666,0.95467,0.98082,0.84447,0.5406,0.87598,0.57765,0.82449,0,0.00160099,0.00160099,0.00160099
6,101.136,0.5688,0.74541,0.62224,0.89708,0,0.96738,0.99074,0.9929,0.87075,0.96279,0.98611,0.99155,0.87733,0.49769,0.7035,0.49721,0.8007,0,0.00158448,0.00158448,0.00158448
7,112.756,0.58298,0.69769,0.58415,0.89974,0,0.97034,0.96296,0.98229,0.83571,0.97584,0.96759,0.98979,0.86104,0.55288,0.72021,0.51106,0.83123,0,0.00156798,0.00156798,0.00156798
8,125.062,0.56564,0.71231,0.55603,0.89511,0,0.97328,0.97422,0.98942,0.85682,0.97791,0.98127,0.9912,0.85389,0.52701,0.84673,0.44562,0.82032,0,0.00155148,0.00155148,0.00155148
9,135.778,0.56949,0.7143,0.54102,0.89372,0,0.93196,0.94444,0.96308,0.84699,0.93649,0.94907,0.96576,0.8278,0.52356,0.81977,0.49853,0.83658,0,0.00153497,0.00153497,0.00153497
10,147.242,0.53002,0.68519,0.49674,0.88109,0,0.97793,0.97662,0.99081,0.86882,0.97793,0.97662,0.99081,0.881,0.55257,0.67628,0.47798,0.82451,0,0.00151847,0.00151847,0.00151847
11,160.072,0.54056,0.6951,0.47599,0.88305,0,0.97721,0.98323,0.9933,0.87656,0.98179,0.98973,0.99356,0.88122,0.49367,0.6739,0.38222,0.8139,0,0.00150197,0.00150197,0.00150197
12,171.134,0.56685,0.71306,0.46959,0.89859,0,0.99314,0.98054,0.9906,0.87687,0.99314,0.98054,0.9906,0.88526,0.51138,0.70522,0.41387,0.81506,0,0.00148546,0.00148546,0.00148546
