epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4441,0.67688,1.44103,2.05346,0.9884,0,0.99617,0.51341,0.66248,0.62479,0.99617,0.51341,0.66251,0.61622,0.63069,1.37231,1.93158,0.85542,0,0.00045009,0.00045009,0.00045009
2,48.0318,0.65671,0.82365,0.88997,0.92566,0,0.98767,0.7627,0.77282,0.68318,0.98767,0.7627,0.77589,0.67274,0.65457,1.61756,1.53449,0.8516,0,0.000907773,0.000907773,0.000907773
3,62.9029,0.63386,0.81281,0.82772,0.9308,0,0.9439,0.76971,0.78301,0.67889,0.9439,0.76971,0.78368,0.71136,0.65081,0.93022,1.09009,0.83071,0,0.00135621,0.00135621,0.00135621
4,75.1181,0.6302,0.76405,0.75749,0.91432,0,0.87987,0.82893,0.96748,0.80368,0.87987,0.82893,0.96748,0.81425,0.62313,0.83471,0.81355,0.82025,0,0.00161749,0.00161749,0.00161749
5,87.3811,0.58824,0.73631,0.68962,0.90151,0,0.98148,0.95573,0.98569,0.80362,0.97659,0.95147,0.97712,0.81524,0.62993,0.84161,0.68702,0.82611,0,0.00160099,0.00160099,0.00160099
6,100.498,0.58751,0.71872,0.64609,0.89781,0,0.96233,0.9502,0.98213,0.84358,0.96233,0.9502,0.98248,0.84839,0.57811,0.83045,0.66101,0.80046,0,0.00158448,0.00158448,0.00158448
7,112.534,0.58671,0.70904,0.58908,0.89899,0,0.97471,0.85091,0.98955,0.85708,0.97471,0.85091,0.98955,0.85913,0.51938,0.80107,0.55932,0.79644,0,0.00156798,0.00156798,0.00156798
8,124.502,0.57,0.72029,0.56507,0.89274,0,0.95887,0.97706,0.99001,0.855,0.95887,0.97706,0.99001,0.86092,0.55655,0.77715,0.5011,0.80349,0,0.00155148,0.00155148,0.00155148
9,135.868,0.55363,0.68868,0.54275,0.89787,0,0.95452,0.97248,0.9852,0.84726,0.95452,0.97248,0.9837,0.84162,0.54073,0.76936,0.44708,0.79374,0,0.00153497,0.00153497,0.00153497
10,147.751,0.56694,0.7139,0.50888,0.8905,0,0.98237,0.99859,0.9944,0.83306,0.97789,0.994,0.99436,0.83328,0.5573,0.79908,0.41397,0.80961,0,0.00151847,0.00151847,0.00151847
11,158.941,0.55462,0.71631,0.4829,0.88563,0,0.98784,0.99332,0.9943,0.86468,0.98784,0.99332,0.9943,0.85009,0.53798,0.73462,0.37301,0.79665,0,0.00150197,0.00150197,0.00150197
12,171.493,0.52366,0.65633,0.47251,0.89203,0,0.97882,0.96415,0.98895,0.84092,0.98358,0.96874,0.99,0.83015,0.54459,0.79169,0.40064,0.81171,0,0.00148546,0.00148546,0.00148546
13,183.083,0.57229,0.71152,0.48123,0.9081,0,0.9829,0.96909,0.986,0.85406,0.9829,0.96909,0.99037,0.84495,0.55017,0.7996,0.43512,0.82156,0,0.00146896,0.00146896,0.00146896
14,194.782,0.52238,0.66586,0.44667,0.88419,0,0.98604,0.99083,0.99379,0.8632,0.98293,0.99083,0.99369,0.84744,0.51857,0.79316,0.37348,0.79838,0,0.00145246,0.00145246,0.00145246
15,208.754,0.53948,0.72356,0.43624,0.88095,0,0.97551,0.9774,0.98481,0.85584,0.98009,0.98199,0.9892,0.8481,0.50755,0.7177,0.46592,0.79851,0,0.00143595,0.00143595,0.00143595
16,220.331,0.51992,0.62313,0.42408,0.88943,0,0.97935,0.98989,0.99414,0.85706,0.9794,0.98918,0.99409,0.84771,0.54957,0.75723,0.3543,0.81026,0,0.00141945,0.00141945,0.00141945
17,232.525,0.50349,0.63259,0.3964,0.88499,0,0.97934,0.9792,0.98761,0.85382,0.97934,0.9792,0.98761,0.84414,0.52818,0.8091,0.36747,0.80843,0,0.00140295,0.00140295,0.00140295
18,244.264,0.50936,0.65089,0.39795,0.88328,0,0.98745,0.9986,0.99347,0.85524,0.98294,0.99402,0.99304,0.85099,0.53255,0.71818,0.3565,0.79534,0,0.00138644,0.00138644,0.00138644
19,255.829,0.51934,0.66113,0.403,0.88348,0,0.98835,0.97706,0.9922,0.86503,0.989,0.96789,0.98846,0.85373,0.51029,0.73221,0.35127,0.78259,0,0.00136994,0.00136994,0.00136994
20,267.462,0.52246,0.65762,0.3916,0.8824,0,0.98307,0.99083,0.99295,0.86531,0.98307,0.99083,0.99295,0.86013,0.51465,0.7132,0.35748,0.79446,0,0.00135344,0.00135344,0.00135344
