epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4215,0.72975,1.85061,2.39101,1.08113,0,0.99714,0.5,0.70043,0.62271,0.99714,0.5,0.70462,0.64874,0.78367,1.3974,2.31792,1.18837,0,0.00045009,0.00045009,0.00045009
2,61.1807,0.6334,0.85965,1.20912,0.98073,0,0.97954,0.74748,0.7563,0.64736,0.97954,0.74748,0.75724,0.66797,0.79147,1.26534,2.0943,1.12735,0,0.000907773,0.000907773,0.000907773
3,79.7462,0.64532,0.86936,1.12359,0.98152,0,0.79785,0.66998,0.7322,0.57747,0.78206,0.68268,0.73712,0.61514,0.85543,1.28624,1.78763,1.16115,0,0.00135621,0.00135621,0.00135621
4,96.9646,0.61455,0.7804,0.97697,0.9541,0,0.83467,0.80517,0.88711,0.71467,0.83467,0.80517,0.88686,0.75569,0.80723,1.42421,1.22317,1.17803,0,0.00161749,0.00161749,0.00161749
5,114.17,0.59027,0.77026,0.85177,0.95963,0,0.86535,0.77036,0.88175,0.74289,0.86535,0.77036,0.87994,0.75904,0.66236,1.05255,1.3785,1.11401,0,0.00160099,0.00160099,0.00160099
6,131.048,0.58493,0.76635,0.75314,0.94608,0,0.97071,0.97248,0.9867,0.8409,0.97071,0.97248,0.98669,0.85658,0.61757,0.93246,0.72246,1.06994,0,0.00158448,0.00158448,0.00158448
7,148.092,0.56726,0.7534,0.69594,0.92996,0,0.97538,0.98064,0.98927,0.8381,0.97538,0.98064,0.98927,0.85352,0.62517,0.94612,0.72855,1.01954,0,0.00156798,0.00156798,0.00156798
8,166.382,0.55754,0.75226,0.64555,0.93753,0,0.96831,0.97706,0.98437,0.79907,0.96831,0.97706,0.98437,0.81166,0.71038,0.93883,0.71539,1.10892,0,0.00155148,0.00155148,0.00155148
9,183.185,0.55984,0.72359,0.60431,0.94068,0,0.96058,0.96504,0.97543,0.82177,0.96141,0.9633,0.97229,0.83431,0.63374,0.96428,0.58145,1.05029,0,0.00153497,0.00153497,0.00153497
10,200.398,0.57195,0.76401,0.57541,0.93961,0,0.98267,0.97706,0.98768,0.80841,0.98267,0.97706,0.98776,0.80777,0.6027,1.03409,0.49052,1.03442,0,0.00151847,0.00151847,0.00151847
